id|song_name|artist|lyric|lyric_by_e|lang|lyric_length|eval|misogy_estr
1|Volver|Carlos Gardel|Yo adivino el parpadeo De las luces que a lo lejos Van marcando mi retorno Son las mismas que alumbraron Con sus pálidos reflejos Hondas horas de dolorY aunque no quise el regreso Siempre se vuelve al primer amor La vieja calle donde el eco dijo Tuya es su vida, tuyo es su querer Bajo el burlón mirar de las estrellas Que con indiferencia hoy me ven volverVolver con la frente marchita Las nieves del tiempo platearon mi sien Sentir que es un soplo la vida Que veinte años no es nada Que febril la mirada, errante en las sombras Te busca y te nombra Vivir con el alma aferrada A un dulce recuerdo Que lloro otra vezTengo miedo del encuentro Con el pasado que vuelve A enfrentarse con mi vida Tengo miedo de las noches Que pobladas de recuerdos Encadenan mi soñarPero el viajero que huye Tarde o temprano detiene su andar Y aunque el olvido, que todo destruye Haya matado mi vieja ilusión Guardo escondida una esperanza humilde Que es toda la fortuna de mi corazónVolver con la frente marchita Las nieves del tiempo platearon mi sien Sentir que es un soplo la vida Que veinte años no es nada Que febril la mirada, errante en las sombras Te busca y te nombra Vivir con el alma aferrada A un dulce recuerdo Que lloro otra vez|Yo adivino el parpadeo De las luces que a lo lejos Van marcando mi retorno Son las mismas que alumbraron Con sus pálidos reflejos Hondas horas de dolor<>Y aunque no quise el regreso Siempre se vuelve al primer amor La vieja calle donde el eco dijo Tuya es su vida, tuyo es su querer Bajo el burlón mirar de las estrellas Que con indiferencia hoy me ven volver<>Volver con la frente marchita Las nieves del tiempo platearon mi sien Sentir que es un soplo la vida Que veinte años no es nada Que febril la mirada, errante en las sombras Te busca y te nombra Vivir con el alma aferrada A un dulce recuerdo Que lloro otra vez<>Tengo miedo del encuentro Con el pasado que vuelve A enfrentarse con mi vida Tengo miedo de las noches Que pobladas de recuerdos Encadenan mi soñar<>Pero el viajero que huye Tarde o temprano detiene su andar Y aunque el olvido, que todo destruye Haya matado mi vieja ilusión Guardo escondida una esperanza humilde Que es toda la fortuna de mi corazón<>Volver con la frente marchita Las nieves del tiempo platearon mi sien Sentir que es un soplo la vida Que veinte años no es nada Que febril la mirada, errante en las sombras Te busca y te nombra Vivir con el alma aferrada A un dulce recuerdo Que lloro otra vez<>|es|1223|[('stereotype', 4.225970804691315), ('active', 2.298542484641075), ('passive', 2.1415255963802338), ('dominance', 1.5892976894974709)]|('Volver con la frente marchita Las nieves del tiempo platearon mi sien Sentir que es un soplo la vida Que veinte años no es nada Que febril la mirada, errante en las sombras Te busca y te nombra Vivir con el alma aferrada A un dulce recuerdo Que lloro otra vez', ('stereotype', 2.375180646777153), 0)
2|Nostalgias|Carlos Gardel|Quiero emborrachar mi corazón Para apagar un loco amor Que más que amor es un sufrir Y aquí vengo para esoPa' borrar antiguos besos En los besos de otra boca Si su amor fue flor de un día ¿Porqué cause siempre míaEsa cruel preocupación? Quiero por los dos la copa alzar Para olvidar mi obstinación Y más la vuelvo a recordarNostalgia De escuchar su risa loca Y sentir junto a mi boca Como un fuego su respiraciónAngustia De sentirme abandonado Y pensar que otro a su lado Pronto, pronto le hablará de amor¡Hermano! Yo no quiero rebajarme Ni pedirle, ni llorarle Ni decirle que no puedo más vivirDesde mi triste soledad Veré caer las rosas muertas De mi juventudGime, bandoneón, tu tango gris Quizás a ti te hiera igual Algún amor sentimental Llora mi alma de fantocheSolo y triste en esta noche Noche negra y sin estrellas Si las copas traen consuelos Aquí estoy con mis desvelosPara ahogarlas de una vez Quiero emborrachar al corazón Para después poder brindar Por los fracasos del amorNostalgia De escuchar su risa loca Y sentir junto a mi boca Como un fuego su respiraciónAngustia De sentirme abandonado Y pensar que otro a su lado Pronto, pronto le hablará de amor¡Hermano! Yo no quiero rebajarme Ni pedirle, ni rogarle Ni decirle que no puedo más vivirDesde mi triste soledad Veré caer las rosas muertas De mi juventud|Quiero emborrachar mi corazón Para apagar un loco amor Que más que amor es un sufrir Y aquí vengo para eso<>Pa' borrar antiguos besos En los besos de otra boca Si su amor fue flor de un día ¿Porqué cause siempre mía<>Esa cruel preocupación? Quiero por los dos la copa alzar Para olvidar mi obstinación Y más la vuelvo a recordar<>Nostalgia De escuchar su risa loca Y sentir junto a mi boca Como un fuego su respiración<>Angustia De sentirme abandonado Y pensar que otro a su lado Pronto, pronto le hablará de amor<>¡Hermano! Yo no quiero rebajarme Ni pedirle, ni llorarle Ni decirle que no puedo más vivir<>Desde mi triste soledad Veré caer las rosas muertas De mi juventud<>Gime, bandoneón, tu tango gris Quizás a ti te hiera igual Algún amor sentimental Llora mi alma de fantoche<>Solo y triste en esta noche Noche negra y sin estrellas Si las copas traen consuelos Aquí estoy con mis desvelos<>Para ahogarlas de una vez Quiero emborrachar al corazón Para después poder brindar Por los fracasos del amor<>Nostalgia De escuchar su risa loca Y sentir junto a mi boca Como un fuego su respiración<>Angustia De sentirme abandonado Y pensar que otro a su lado Pronto, pronto le hablará de amor<>¡Hermano! Yo no quiero rebajarme Ni pedirle, ni rogarle Ni decirle que no puedo más vivir<>Desde mi triste soledad Veré caer las rosas muertas De mi juventud<>|es|1323|[('stereotype', 3.566819801926613), ('active', 3.35259847342968), ('sexual_harassment', 1.768186129629612), ('passive', 1.6989409923553467)]|('Desde mi triste soledad Veré caer las rosas muertas De mi juventud', ('stereotype', 3.983170911669731), 0)
3|Cambalache|Carlos Gardel|El mundo fue y será una porquería, ya lo sé En el quinientos seis y en el dos mil también Que siempre ha habido chorros Maquiávelos y estafáos' Contentos y amargaos, valores y dublé Pero que el siglo veinte es un despliegue De maldá' insolente ya no hay quien lo niegue Vivimos revolcaos en un merengue Y en el mismo lodo todos manoseaosHoy resulta que es lo mismo ser derecho que traidor Ignorante, sabio, chorro, generoso, estafador Todo es igual, nada es mejor Lo mismo un burro que un gran profesor! No hay aplazaos ni escalafón Los inmorales nos han iguala'o Si uno vive en la impostura Y otro roba en su ambición Da lo mismo que sea cura Colchonero, rey de bastos Caradura o polizón¡Qué falta de respeto, qué atropello a la razón! ¡Cualquiera es un señor, cualquiera es un ladrón! Mezclao' con Stavisky van Don Bosco y La Mignon Don Chicho y Napoleón, Carnera y San Martín Igual que en la vidriera irrespetuosa De los cambalaches se ha mezclao' la vida Y herida por un sable sin remache Ve llorar la Biblia contra un bandoneónSiglo veinte, cambalache, problemático y febril El que no llora no mama y el que no afana es un gil Dale nomás, dale que va Que allá en el horno nos vamo' a encontrar No pienses más, sentate a un lao' Que a nadie importa si naciste honrao' Es lo mismo el que labura Noche y día como un buey Que el que vive de los otros Que el que mata o el que cura O está fuera de la ley|El mundo fue y será una porquería, ya lo sé En el quinientos seis y en el dos mil también Que siempre ha habido chorros Maquiávelos y estafáos' Contentos y amargaos, valores y dublé Pero que el siglo veinte es un despliegue De maldá' insolente ya no hay quien lo niegue Vivimos revolcaos en un merengue Y en el mismo lodo todos manoseaos<>Hoy resulta que es lo mismo ser derecho que traidor Ignorante, sabio, chorro, generoso, estafador Todo es igual, nada es mejor Lo mismo un burro que un gran profesor! No hay aplazaos ni escalafón Los inmorales nos han iguala'o Si uno vive en la impostura Y otro roba en su ambición Da lo mismo que sea cura Colchonero, rey de bastos Caradura o polizón<>¡Qué falta de respeto, qué atropello a la razón! ¡Cualquiera es un señor, cualquiera es un ladrón! Mezclao' con Stavisky van Don Bosco y La Mignon Don Chicho y Napoleón, Carnera y San Martín Igual que en la vidriera irrespetuosa De los cambalaches se ha mezclao' la vida Y herida por un sable sin remache Ve llorar la Biblia contra un bandoneón<>Siglo veinte, cambalache, problemático y febril El que no llora no mama y el que no afana es un gil Dale nomás, dale que va Que allá en el horno nos vamo' a encontrar No pienses más, sentate a un lao' Que a nadie importa si naciste honrao' Es lo mismo el que labura Noche y día como un buey Que el que vive de los otros Que el que mata o el que cura O está fuera de la ley<>|es|1404|[('passive', 2.739008329808712), ('stereotype', 2.6901530101895332), ('active', 2.104380540549755), ('discredit', 1.777767576277256)]|"(""Siglo veinte, cambalache, problemático y febril El que no llora no mama y el que no afana es un gil Dale nomás, dale que va Que allá en el horno nos vamo' a encontrar No pienses más, sentate a un lao' Que a nadie importa si naciste honrao' Es lo mismo el que labura Noche y día como un buey Que el que vive de los otros Que el que mata o el que cura O está fuera de la ley"", ('passive', 4.106993600726128), 0)"
4|El Día Que Me Quieras|Carlos Gardel|Acaricia mi ensueño el suave murmullo de tu suspirar. Como ríe la vida si tus ojos negros me quieren mirar. Y si es mío el amparo de tu risa leve que es como un cantar, ella aquieta mi herida, todo, todo se olvida.El día que me quieras la rosa que engalana, se vestirá de fiesta con su mejor color. Y al viento las campanas dirán que ya eres mía, y locas las fontanas se contarán su amor.La noche que me quieras desde el azul del cielo, las estrellas celosas nos mirarán pasar. Y un rayo misterioso hará nido en tu pelo, luciernagas curiosas que verán que eres mi consuelo.El día que me quieras no habrá más que armonía. Será clara la aurora y alegre el manantial. Traerá quieta la brisa rumor de melodía. Y nos darán las fuentes su canto de cristal.El día que me quieras endulzará sus cuerdas el pájaro cantor. Florecerá la vida no existirá el dolor La noche que me quieras|Acaricia mi ensueño el suave murmullo de tu suspirar. Como ríe la vida si tus ojos negros me quieren mirar. Y si es mío el amparo de tu risa leve que es como un cantar, ella aquieta mi herida, todo, todo se olvida.<>El día que me quieras la rosa que engalana, se vestirá de fiesta con su mejor color. Y al viento las campanas dirán que ya eres mía, y locas las fontanas se contarán su amor.<>La noche que me quieras desde el azul del cielo, las estrellas celosas nos mirarán pasar. Y un rayo misterioso hará nido en tu pelo, luciernagas curiosas que verán que eres mi consuelo.<>El día que me quieras no habrá más que armonía. Será clara la aurora y alegre el manantial. Traerá quieta la brisa rumor de melodía. Y nos darán las fuentes su canto de cristal.<>El día que me quieras endulzará sus cuerdas el pájaro cantor. Florecerá la vida no existirá el dolor La noche que me quieras<>|es|874|[('active', 82.59331583976746), ('sexual_harassment', 51.0960578918457), ('stereotype', 34.5810741186142), ('dominance', 14.654621481895447)]|('El día que me quieras endulzará sus cuerdas el pájaro cantor. Florecerá la vida no existirá el dolor La noche que me quieras', ('stereotype', 20.327654480934143), 3)
5|Mano A Mano|Carlos Gardel|Rechiflado en mi tristeza, hoy te evoco y veo que has sido En mi pobre vida paria solo una buena mujer Tu presencia de bacana puso calor en mi nido Fuiste buena, consecuente, y yo sé que me has querido Como no quisiste a nadie, como no podrás quererSe dio el juego de remanye cuando vos, pobre percanta Gambeteabas la pobreza en la casa de pensión Hoy sos toda una bacana, la vida te ríe y canta Los morlacos del otario los tirás a la marchanta Como juega el gato maula con el misero ratónHoy tenés el mate lleno de infelices ilusiones Te engrupieron los otarios, las amigas, el gavión La milonga entre magnates con sus locas tentaciones Donde triunfan y claudican milongueras pretensiones Se te ha entrado muy adentro en el pobre corazónNada debo agradecerte, mano a mano hemos quedado No me importa lo que has hecho, lo que hacés ni lo que harás Los favores recibidos creo habértelos pagado Y si alguna deuda chica sin querer se había olvidado En la cuenta del otario que tenés se la cargásMientras tanto, que tus triunfos, pobres triunfos pasajeros Sean una larga fila de riquezas y placer Que el bacán que te acamala tenga pesos duraderos Que te abrás en las paradas con cafichios milongueros Y que digan los muchachos: Es una buena mujerY mañana cuando seas descolado mueble viejo Y no tengas esperanzas en el pobre corazón Si precisás una ayuda, si te hace falta un consejo Acordate de este amigo que ha de jugarse el pellejo P'ayudarte en lo que pueda cuando llegue la ocasión|Rechiflado en mi tristeza, hoy te evoco y veo que has sido En mi pobre vida paria solo una buena mujer Tu presencia de bacana puso calor en mi nido Fuiste buena, consecuente, y yo sé que me has querido Como no quisiste a nadie, como no podrás querer<>Se dio el juego de remanye cuando vos, pobre percanta Gambeteabas la pobreza en la casa de pensión Hoy sos toda una bacana, la vida te ríe y canta Los morlacos del otario los tirás a la marchanta Como juega el gato maula con el misero ratón<>Hoy tenés el mate lleno de infelices ilusiones Te engrupieron los otarios, las amigas, el gavión La milonga entre magnates con sus locas tentaciones Donde triunfan y claudican milongueras pretensiones Se te ha entrado muy adentro en el pobre corazón<>Nada debo agradecerte, mano a mano hemos quedado No me importa lo que has hecho, lo que hacés ni lo que harás Los favores recibidos creo habértelos pagado Y si alguna deuda chica sin querer se había olvidado En la cuenta del otario que tenés se la cargás<>Mientras tanto, que tus triunfos, pobres triunfos pasajeros Sean una larga fila de riquezas y placer Que el bacán que te acamala tenga pesos duraderos Que te abrás en las paradas con cafichios milongueros Y que digan los muchachos: Es una buena mujer<>Y mañana cuando seas descolado mueble viejo Y no tengas esperanzas en el pobre corazón Si precisás una ayuda, si te hace falta un consejo Acordate de este amigo que ha de jugarse el pellejo P'ayudarte en lo que pueda cuando llegue la ocasión<>|es|1483|[('active', 3.1844981014728546), ('stereotype', 2.5510594248771667), ('sexual_harassment', 1.3660895638167858), ('discredit', 1.3302541337907314)]|"(""Y mañana cuando seas descolado mueble viejo Y no tengas esperanzas en el pobre corazón Si precisás una ayuda, si te hace falta un consejo Acordate de este amigo que ha de jugarse el pellejo P'ayudarte en lo que pueda cuando llegue la ocasión"", ('stereotype', 2.2453824058175087), 1)"
6|A Media Luz|Carlos Gardel|Corrientes tres cuatro ocho Segundo piso ascensor No hay porteros ni vecinos Adentro cocktail y amorPisito que puso mapple Piano, estera y velador Un telefón que contesta Una fonola que lloraViejos tangos de mi flor Y un gato de porcelana Pa' que no maúlle el amorY todo a media luz Que es un brujo el amor A media luz los besos A media luz los dos Y todo a media luz Crepusculo interior Que suave terciopelo La media luz de amorJuncal, doce, veinticuatro Telefoneá sin temor De tarde, té con masitas De noche tango y champánLos domingos, té danzante Los lunes desolación Hay de todo en la casita: Almohadones y divanesComo en botica, cocó Alfombras que no hacen ruido Y mesa puesta al amor|Corrientes tres cuatro ocho Segundo piso ascensor No hay porteros ni vecinos Adentro cocktail y amor<>Pisito que puso mapple Piano, estera y velador Un telefón que contesta Una fonola que llora<>Viejos tangos de mi flor Y un gato de porcelana Pa' que no maúlle el amor<>Y todo a media luz Que es un brujo el amor A media luz los besos A media luz los dos Y todo a media luz Crepusculo interior Que suave terciopelo La media luz de amor<>Juncal, doce, veinticuatro Telefoneá sin temor De tarde, té con masitas De noche tango y champán<>Los domingos, té danzante Los lunes desolación Hay de todo en la casita: Almohadones y divanes<>Como en botica, cocó Alfombras que no hacen ruido Y mesa puesta al amor<>|es|690|[('stereotype', 3.747725859284401), ('active', 2.867242321372032), ('passive', 1.5808602795004845), ('dominance', 1.3121678493916988)]|('Como en botica, cocó Alfombras que no hacen ruido Y mesa puesta al amor', ('stereotype', 54.66192364692688), 1)
7|Uno|Enrique Santos Discépolo|Uno busca lleno de esperanzas el camino que los sueños prometieron a sus ansias. Sabe que la lucha es cruel y es mucha pero lucha y se desangra por la fe que lo empecina... Uno va arrastrándose entre espinas y en su afán de dar su amor, sufre y se destroza hasta entender que uno se ha quedao sin corazón... Precio de castigo que uno entrega por un beso que no llega a un amor que lo engañó... ¡Vacío ya de amar y de llorar tanta traición!Si yo tuviera el corazón... (El corazón que di...) Si yo pudiera como ayer querer sin presentir... Es posible que a tus ojos que me gritan tu cariño los cerrara con mis besos... Sin pensar que eran como esos otros ojos, los perversos, los que hundieron mi vivir. Si yo tuviera el corazón... (El mismo que perdí...) Si olvidara a la que ayer lo destrozó y... pudiera amarte.. me abrazaría a tu ilusión para llorar tu amor...Pero, Dios te trajo a mi destino sin pensar que ya es muy tarde y no sabré cómo quererte... Déjame que llore como aquel sufre en vida la tortura de llorar su propia muerte... Pura como sos, habrías salvado mi esperanza con tu amor... Uno está tan solo en su dolor... Uno está tan ciego en su penar.... Pero un frío cruel que es peor que el odio -punto muerto de las almas, tumba horrenda de mi amor- maldijo para siempre y me robó... toda ilusión...|Uno busca lleno de esperanzas el camino que los sueños prometieron a sus ansias. Sabe que la lucha es cruel y es mucha pero lucha y se desangra por la fe que lo empecina... Uno va arrastrándose entre espinas y en su afán de dar su amor, sufre y se destroza hasta entender que uno se ha quedao sin corazón... Precio de castigo que uno entrega por un beso que no llega a un amor que lo engañó... ¡Vacío ya de amar y de llorar tanta traición!<>Si yo tuviera el corazón... (El corazón que di...) Si yo pudiera como ayer querer sin presentir... Es posible que a tus ojos que me gritan tu cariño los cerrara con mis besos... Sin pensar que eran como esos otros ojos, los perversos, los que hundieron mi vivir. Si yo tuviera el corazón... (El mismo que perdí...) Si olvidara a la que ayer lo destrozó y... pudiera amarte.. me abrazaría a tu ilusión para llorar tu amor...<>Pero, Dios te trajo a mi destino sin pensar que ya es muy tarde y no sabré cómo quererte... Déjame que llore como aquel sufre en vida la tortura de llorar su propia muerte... Pura como sos, habrías salvado mi esperanza con tu amor... Uno está tan solo en su dolor... Uno está tan ciego en su penar.... Pero un frío cruel que es peor que el odio -punto muerto de las almas, tumba horrenda de mi amor- maldijo para siempre y me robó... toda ilusión...<>|es|1311|[('active', 3.058677352964878), ('stereotype', 2.308379113674164), ('sexual_harassment', 1.643766462802887), ('dominance', 1.3722687028348446)]|('Pero, Dios te trajo a mi destino sin pensar que ya es muy tarde y no sabré cómo quererte... Déjame que llore como aquel sufre en vida la tortura de llorar su propia muerte... Pura como sos, habrías salvado mi esperanza con tu amor... Uno está tan solo en su dolor... Uno está tan ciego en su penar.... Pero un frío cruel que es peor que el odio -punto muerto de las almas, tumba horrenda de mi amor- maldijo para siempre y me robó... toda ilusión...', ('stereotype', 2.625848725438118), 1)
8|Yira, Yira|Carlos Gardel|Cuando la suerte qu'es grela Fayando y fayando Te largue parao Cuando estés bien en la vía Sin rumbo, desesperao Cuando no tengas ni fe Ni yerba de ayer Secándose al solCuando rajés los tamangos Buscando este mango Que te haga morfar La indiferencia del mundo Que es sordo y es mudo bien Recién sentirásVerás que todo es mentira Verás que nada es amor Que al mundo nada le importa Yira, yiraAunque te quiebre la vida Aunque te muerda un dolor No esperes nunca una ayuda Ni una mano, ni un favorCuando estén secas las pilas De todos los timbres Que vos apretás Buscando un pecho fraterno Para morir abrazao Cuando te dejen tirao Después de cinchar Lo mismo que a mí Cuando manyés que a tu lado Se prueban la ropa Que vas a dejar Te acordarás de este otario Que un día, cansado Se puso a ladrar|Cuando la suerte qu'es grela Fayando y fayando Te largue parao Cuando estés bien en la vía Sin rumbo, desesperao Cuando no tengas ni fe Ni yerba de ayer Secándose al sol<>Cuando rajés los tamangos Buscando este mango Que te haga morfar La indiferencia del mundo Que es sordo y es mudo bien Recién sentirás<>Verás que todo es mentira Verás que nada es amor Que al mundo nada le importa Yira, yira<>Aunque te quiebre la vida Aunque te muerda un dolor No esperes nunca una ayuda Ni una mano, ni un favor<>Cuando estén secas las pilas De todos los timbres Que vos apretás Buscando un pecho fraterno Para morir abrazao Cuando te dejen tirao Después de cinchar Lo mismo que a mí Cuando manyés que a tu lado Se prueban la ropa Que vas a dejar Te acordarás de este otario Que un día, cansado Se puso a ladrar<>|es|792|[('active', 4.92531955242157), ('stereotype', 3.641282767057419), ('sexual_harassment', 3.2681290060281754), ('dominance', 2.143508568406105)]|('Cuando estén secas las pilas De todos los timbres Que vos apretás Buscando un pecho fraterno Para morir abrazao Cuando te dejen tirao Después de cinchar Lo mismo que a mí Cuando manyés que a tu lado Se prueban la ropa Que vas a dejar Te acordarás de este otario Que un día, cansado Se puso a ladrar', ('stereotype', 3.0537359416484833), 0)
9|A Mi Manera|Cacho Castaña|Estoy mirando atrás Y puedo ver mi vida entera Y sé que estoy en paz Pues la viví a mi maneraCrecí sin derrochar Logré abrazar al mundo todo Y más, mil sueños más Viví a mi modoDolor, lo conocí Y recibí compensaciones Seguí sin vacilar Logré vencer las decepcionesMi plan jamás falló Y me mostró mil y un recodos Y más, mil sueños más Viví a mi modoEse fui yo que arremetí Hasta el azar quise perseguir Si me oculté, si me arriesgué Lo que perdí no lo lloré Porque viví, siempre viví A mi maneraAmé, también sufrí Y compartí camino largos Perdí y rescaté Mas no guardé tiempos amargosJamás me arrepentí Si amando dí todos mis sueños Lloré y si reí Fue a mi maneraQue pueden decir o criticar Si yo a aprendí a renunciar Si hay que morir y hay que pasar Nada dejé sin entregar Porque viví, siempre viví A mi manera|Estoy mirando atrás Y puedo ver mi vida entera Y sé que estoy en paz Pues la viví a mi manera<>Crecí sin derrochar Logré abrazar al mundo todo Y más, mil sueños más Viví a mi modo<>Dolor, lo conocí Y recibí compensaciones Seguí sin vacilar Logré vencer las decepciones<>Mi plan jamás falló Y me mostró mil y un recodos Y más, mil sueños más Viví a mi modo<>Ese fui yo que arremetí Hasta el azar quise perseguir Si me oculté, si me arriesgué Lo que perdí no lo lloré Porque viví, siempre viví A mi manera<>Amé, también sufrí Y compartí camino largos Perdí y rescaté Mas no guardé tiempos amargos<>Jamás me arrepentí Si amando dí todos mis sueños Lloré y si reí Fue a mi manera<>Que pueden decir o criticar Si yo a aprendí a renunciar Si hay que morir y hay que pasar Nada dejé sin entregar Porque viví, siempre viví A mi manera<>|es|812|[('active', 2.12732944637537), ('sexual_harassment', 1.566418632864952), ('stereotype', 1.4423443004488945), ('dominance', 1.3905745930969715)]|('Que pueden decir o criticar Si yo a aprendí a renunciar Si hay que morir y hay que pasar Nada dejé sin entregar Porque viví, siempre viví A mi manera', ('sexual_harassment', 2.6928799226880074), 0)
10|Fuimos|Homero Manzi|Fui como una lluvia de cenizas y fatigas En las horas resignadas de tu vida Gota de vinagre derramada Fatalmente derramada, sobre todas tus heridas Fuiste por mi culpa golondrina entre la nieve Rosa marchitada por la nube que no llueve Fuimos la esperanza que no llega, que no alcanza Que no puede vislumbrar su tarde mansa Fuimos el viajero que no implora, que no reza Que no llora, que se echó a morir¡Vete! ¿No comprendes que te estás matando? ¿No comprendes que te estoy llamando? ¡Vete! No me beses que te estoy llorando ¡Y quisiera no llorarte más! ¿No ves? Es mejor que mi dolor Quede tirado con tu amor Librado de mi amor final ¡Vete! ¿No comprendes que te estoy salvando? ¿No comprendes que te estoy amando? ¡No me sigas, ni me llames, ni me beses Ni me llores, ni me quieras más!Fuimos abrazados a la angustia de un presagio Por la noche de un camino sin salidas Pálidos despojos de un naufragio Sacudidos por las olas del amor y de la vida Fuimos empujados en un viento desolado Sombras de una sombra que tornaba del pasado Fuimos la esperanza que no llega, que no alcanza Que no puede vislumbrar su tarde mansa Fuimos el viajero que no implora, que no reza Que no llora, que se echó a morir¡Vete! ¿No comprendes que te estás matando? ¿No comprendes que te estoy llamando? ¡Vete! No me beses que te estoy llorando ¡Y quisiera no llorarte más! ¿No ves? Es mejor que mi dolor Quede tirado con tu amor Librado de mi amor final ¡Vete! ¿No comprendes que te estoy salvando? ¿No comprendes que te estoy amando? ¡No me sigas, ni me llames, ni me beses Ni me llores, ni me quieras más!|Fui como una lluvia de cenizas y fatigas En las horas resignadas de tu vida Gota de vinagre derramada Fatalmente derramada, sobre todas tus heridas Fuiste por mi culpa golondrina entre la nieve Rosa marchitada por la nube que no llueve Fuimos la esperanza que no llega, que no alcanza Que no puede vislumbrar su tarde mansa Fuimos el viajero que no implora, que no reza Que no llora, que se echó a morir<>¡Vete! ¿No comprendes que te estás matando? ¿No comprendes que te estoy llamando? ¡Vete! No me beses que te estoy llorando ¡Y quisiera no llorarte más! ¿No ves? Es mejor que mi dolor Quede tirado con tu amor Librado de mi amor final ¡Vete! ¿No comprendes que te estoy salvando? ¿No comprendes que te estoy amando? ¡No me sigas, ni me llames, ni me beses Ni me llores, ni me quieras más!<>Fuimos abrazados a la angustia de un presagio Por la noche de un camino sin salidas Pálidos despojos de un naufragio Sacudidos por las olas del amor y de la vida Fuimos empujados en un viento desolado Sombras de una sombra que tornaba del pasado Fuimos la esperanza que no llega, que no alcanza Que no puede vislumbrar su tarde mansa Fuimos el viajero que no implora, que no reza Que no llora, que se echó a morir<>¡Vete! ¿No comprendes que te estás matando? ¿No comprendes que te estoy llamando? ¡Vete! No me beses que te estoy llorando ¡Y quisiera no llorarte más! ¿No ves? Es mejor que mi dolor Quede tirado con tu amor Librado de mi amor final ¡Vete! ¿No comprendes que te estoy salvando? ¿No comprendes que te estoy amando? ¡No me sigas, ni me llames, ni me beses Ni me llores, ni me quieras más!<>|es|1588|[('active', 10.071663558483124), ('sexual_harassment', 7.332167029380798), ('stereotype', 5.401650071144104), ('dominance', 3.995692729949951)]|('¡Vete! ¿No comprendes que te estás matando? ¿No comprendes que te estoy llamando? ¡Vete! No me beses que te estoy llorando ¡Y quisiera no llorarte más! ¿No ves? Es mejor que mi dolor Quede tirado con tu amor Librado de mi amor final ¡Vete! ¿No comprendes que te estoy salvando? ¿No comprendes que te estoy amando? ¡No me sigas, ni me llames, ni me beses Ni me llores, ni me quieras más!', ('dominance', 33.35309028625488), 0)
