1|Cuando Llora Mi Guitarra|Julio Jaramillo|Cansado de llamarte Con mi alma destrozada Comprendo que no vienes Porque no quiere DiosY al ver que inútilmente Te envío mis palabras Llorando mi guitarra Se deja oír su vozY al ver que inútilmente Te envio mis palabras Llorando mi guitarra Se deja oír su vozLlora, guitarra, porque eres mi voz de dolor Grita de nuevo su nombre, si no te escuchó Y dile que aún la quiero, que aún espero que vuelva Que si no viene, mi amor no tiene consuelo Que solitario, sin su cariño, me mueroGuitarra Tú que interpretas en tu vibrar mi quebranto Tú que recibes en tu madero mi llanto Llora conmigo, si no lo vieras volverLlora, guitarra, porque eres mi voz de dolor Grita de nuevo su nombre, si no te escuchó Y dile que aún la quiero, que aún espero que vuelva Que si no viene, mi amor no tiene consuelo Que solitario, sin su cariño, me mueroGuitarra Tú que interpretas en tu vibrar mi quebranto Tú que recibes en tu madero mi llanto Llora conmigo, si no lo vieras Volver|Cansado de llamarte Con mi alma destrozada Comprendo que no vienes Porque no quiere Dios<>Y al ver que inútilmente Te envío mis palabras Llorando mi guitarra Se deja oír su voz<>Y al ver que inútilmente Te envio mis palabras Llorando mi guitarra Se deja oír su voz<>Llora, guitarra, porque eres mi voz de dolor Grita de nuevo su nombre, si no te escuchó Y dile que aún la quiero, que aún espero que vuelva Que si no viene, mi amor no tiene consuelo Que solitario, sin su cariño, me muero<>Guitarra Tú que interpretas en tu vibrar mi quebranto Tú que recibes en tu madero mi llanto Llora conmigo, si no lo vieras volver<>Llora, guitarra, porque eres mi voz de dolor Grita de nuevo su nombre, si no te escuchó Y dile que aún la quiero, que aún espero que vuelva Que si no viene, mi amor no tiene consuelo Que solitario, sin su cariño, me muero<>Guitarra Tú que interpretas en tu vibrar mi quebranto Tú que recibes en tu madero mi llanto Llora conmigo, si no lo vieras Volver<>
2|Te Lo Pido Por Favor|Juan Gabriel|Donde este hoy y siempre Yo te quiero conmigo necesito cuidados Necesito de ti Si me voy donde vaya yo te llevo conmigo No me dejes ir solo necesito de tiTú me sabes bien cuidar Tú me sabes bien guiar todo lo haces muy bien tú Ser muy buena es tu virtud Como te puedo pagar todo lo que haces por míTodo lo feliz que soy todo este grande amor Solamente con mi vida, ten mi vida te la doy Pero no me dejes nunca, nunca, nunca Te lo pido por favorTú me sabes bien guiar Tú me sabes bien cuidar todo lo haces muy bien tú Ser muy buena es tu virtud Como te puedo pagar todo lo que haces por míTodo lo feliz que soy todo este inmenso amor Solamente con mi vida, ten mi vida te la doy Pero no me dejes nunca, nunca, nunca Te lo pido por favorOh no, no, no Pero no me dejes nunca, nunca, nunca Te lo pido por favor|Donde este hoy y siempre Yo te quiero conmigo necesito cuidados Necesito de ti Si me voy donde vaya yo te llevo conmigo No me dejes ir solo necesito de ti<>Tú me sabes bien cuidar Tú me sabes bien guiar todo lo haces muy bien tú Ser muy buena es tu virtud Como te puedo pagar todo lo que haces por mí<>Todo lo feliz que soy todo este grande amor Solamente con mi vida, ten mi vida te la doy Pero no me dejes nunca, nunca, nunca Te lo pido por favor<>Tú me sabes bien guiar Tú me sabes bien cuidar todo lo haces muy bien tú Ser muy buena es tu virtud Como te puedo pagar todo lo que haces por mí<>Todo lo feliz que soy todo este inmenso amor Solamente con mi vida, ten mi vida te la doy Pero no me dejes nunca, nunca, nunca Te lo pido por favor<>Oh no, no, no Pero no me dejes nunca, nunca, nunca Te lo pido por favor<>
3|Triunfamos|Los Panchos|Une tu voz a mi voz Para gritar que triunfamos Que el mundo ya se cansó Aquí seguimos los dos Sin renunciar ni ocultarnosPorque, ocultar nuestro amor Era tapar con un dedo La luz inmensa del Sol Negar la gracia de Dios Negar que lo blanco es negroAmor, nada nos pudo separar Luchamos contra toda incomprensión Del cuento, ya no hay nada que contar Triunfamos por la fuerza del amorUne tu voz a mi voz Para gritar que vencimos Y, si es pecado el amor Que el cielo de explicación Porque es mandato divinoAmor, nada nos pudo separar Luchamos contra toda incomprensión Del cuento, ya no hay nada que contar Triunfamos por la fuerza del amorUne tu voz a mi voz Para gritar que vencimos Y, si es pecado el amor Que el cielo de explicación Porque es mandato divino|Une tu voz a mi voz Para gritar que triunfamos Que el mundo ya se cansó Aquí seguimos los dos Sin renunciar ni ocultarnos<>Porque, ocultar nuestro amor Era tapar con un dedo La luz inmensa del Sol Negar la gracia de Dios Negar que lo blanco es negro<>Amor, nada nos pudo separar Luchamos contra toda incomprensión Del cuento, ya no hay nada que contar Triunfamos por la fuerza del amor<>Une tu voz a mi voz Para gritar que vencimos Y, si es pecado el amor Que el cielo de explicación Porque es mandato divino<>Amor, nada nos pudo separar Luchamos contra toda incomprensión Del cuento, ya no hay nada que contar Triunfamos por la fuerza del amor<>Une tu voz a mi voz Para gritar que vencimos Y, si es pecado el amor Que el cielo de explicación Porque es mandato divino<>
4|Nuestro Juramento|Julio Jaramillo|No puedo verte triste, porque me mata Tu carita de pena, mi dulce amor Me duele tanto el llanto que tú derramas Que se llena de angustia mi corazónYo sufro lo indecible si tú entristeces No quiero que la duda te haga llorar Hemos jurado amarnos hasta la muerte Y si los muertos aman después de muertos Amarnos másSi yo muero primero, es tu promesa Sobre de mi cadáver dejar caer Todo el llanto que brote de tu tristeza Y que todos se enteren de tu quererSi tú mueres primero, yo te prometo Escribiré la historia de nuestro amor Con toda el alma llena de sentimiento La escribiré con sangre Con tinta sangre del corazónSi tú mueres primero, yo te prometo Escribiré la historia de nuestro amor Con toda el alma llena de sentimiento La escribiré con sangre Con tinta sangre del corazón|No puedo verte triste, porque me mata Tu carita de pena, mi dulce amor Me duele tanto el llanto que tú derramas Que se llena de angustia mi corazón<>Yo sufro lo indecible si tú entristeces No quiero que la duda te haga llorar Hemos jurado amarnos hasta la muerte Y si los muertos aman después de muertos Amarnos más<>Si yo muero primero, es tu promesa Sobre de mi cadáver dejar caer Todo el llanto que brote de tu tristeza Y que todos se enteren de tu querer<>Si tú mueres primero, yo te prometo Escribiré la historia de nuestro amor Con toda el alma llena de sentimiento La escribiré con sangre Con tinta sangre del corazón<>Si tú mueres primero, yo te prometo Escribiré la historia de nuestro amor Con toda el alma llena de sentimiento La escribiré con sangre Con tinta sangre del corazón<>
5|Sombras|Julio Jaramillo|Cuando tú te hayas ido, Me envolverán las sombras, Cuando tú te hayas ido, Con mi dolor a solas; Evocaré ese idilio De las azules horas, Cuando tú te hayas ido, Me envolverán las sombras.En la penumbra vaga De la pequeña alcoba, Donde una tibia tarde Me acariciaste todo; Te buscarán mis brazos, Te besará mi boca Y aspiraré en el aire Aquel olor a rosas. Cuando tú te hayas ido, Me envolverán las sombras.Cuando llegue el olvido Marchitaran las rosas Cuando llegue el olvido Mi verso se hara prosa No cantare a tus ojos Ni cantare a tu boca Cuando llegue el olvido Te perdere en las sombrasEn la penumbra vaga De la pequeña alcoba, Donde una tibia tarde Te di mi pasion loca; No buscare tus ojos, Ni besare tu boca Solo seran recuerdos Lejanas esas horas Cuando llegue el olvido Te habras ido en las sombras.|Cuando tú te hayas ido, Me envolverán las sombras, Cuando tú te hayas ido, Con mi dolor a solas; Evocaré ese idilio De las azules horas, Cuando tú te hayas ido, Me envolverán las sombras.<>En la penumbra vaga De la pequeña alcoba, Donde una tibia tarde Me acariciaste todo; Te buscarán mis brazos, Te besará mi boca Y aspiraré en el aire Aquel olor a rosas. Cuando tú te hayas ido, Me envolverán las sombras.<>Cuando llegue el olvido Marchitaran las rosas Cuando llegue el olvido Mi verso se hara prosa No cantare a tus ojos Ni cantare a tu boca Cuando llegue el olvido Te perdere en las sombras<>En la penumbra vaga De la pequeña alcoba, Donde una tibia tarde Te di mi pasion loca; No buscare tus ojos, Ni besare tu boca Solo seran recuerdos Lejanas esas horas Cuando llegue el olvido Te habras ido en las sombras.<>
6|Abrázame Muy Fuerte|Juan Gabriel|Cuando tú estás conmigo es cuando yo digo Que valió la pena todo, todo lo que yo he sufrido No sé si es un sueño aún O es una realidad Pero cuando estoy contigo es cuando digoQue este amor que siento es por que tú lo has merecido Con decirte amor que otra vez he amanecido Llorando de felicidad A tu lado yo siento que estoy viviendo Nada es como ayerAbrázame que el tiempo pasa y él nunca perdona Ha hecho estragos en mi gente como en mi persona Abrázame que el tiempo es malo y muy cruel amigo Abrázame que el tiempo es oro si tú estás conmigo Abrázame fuerte, muy fuerte, más fuerte que nunca Siempre abrázameHoy que tú estás conmigo Yo no sé si está pasando el tiempo o tú lo has detenido Así quiero estar por siempre Aprovecho que estás tú conmigo Te doy gracias por cada momento de mi vivirTú cuando mires para el cielo Por cada estrella que aparezca amor es un te quiero Abrázame que el tiempo hiere y el cielo es testigo Que el tiempo es cruel a nadie quiere por eso te digoAbrázame muy fuerte amor manténme así a tu lado Yo quiero agradecerte amor todo lo que me has dado Quiero corresponderte de una forma u otra a diario Amor yo nunca del dolor he sido partidarioPero a mí me tocó sufrir cuando confié y creí En alguien que juró que daba su vida por mí Abrázame que el tiempo pasa y ese no se detiene Abrázame muy fuerte amor que el tiempo en contra vieneAbrázame que Dios perdona pero el tiempo a ninguno Abrázame que no le importa saber quién es uno Abrázame que el tiempo pasa y él nunca perdona Ha hecho estragos en mi gente como en mi personaAbrázame que el tiempo es malo y muy cruel amigo Abrázame muy fuerte amor|Cuando tú estás conmigo es cuando yo digo Que valió la pena todo, todo lo que yo he sufrido No sé si es un sueño aún O es una realidad Pero cuando estoy contigo es cuando digo<>Que este amor que siento es por que tú lo has merecido Con decirte amor que otra vez he amanecido Llorando de felicidad A tu lado yo siento que estoy viviendo Nada es como ayer<>Abrázame que el tiempo pasa y él nunca perdona Ha hecho estragos en mi gente como en mi persona Abrázame que el tiempo es malo y muy cruel amigo Abrázame que el tiempo es oro si tú estás conmigo Abrázame fuerte, muy fuerte, más fuerte que nunca Siempre abrázame<>Hoy que tú estás conmigo Yo no sé si está pasando el tiempo o tú lo has detenido Así quiero estar por siempre Aprovecho que estás tú conmigo Te doy gracias por cada momento de mi vivir<>Tú cuando mires para el cielo Por cada estrella que aparezca amor es un te quiero Abrázame que el tiempo hiere y el cielo es testigo Que el tiempo es cruel a nadie quiere por eso te digo<>Abrázame muy fuerte amor manténme así a tu lado Yo quiero agradecerte amor todo lo que me has dado Quiero corresponderte de una forma u otra a diario Amor yo nunca del dolor he sido partidario<>Pero a mí me tocó sufrir cuando confié y creí En alguien que juró que daba su vida por mí Abrázame que el tiempo pasa y ese no se detiene Abrázame muy fuerte amor que el tiempo en contra viene<>Abrázame que Dios perdona pero el tiempo a ninguno Abrázame que no le importa saber quién es uno Abrázame que el tiempo pasa y él nunca perdona Ha hecho estragos en mi gente como en mi persona<>Abrázame que el tiempo es malo y muy cruel amigo Abrázame muy fuerte amor<>
7|Contigo|Los Panchos|Contigo Tus besos se llegaron a recrear Aquí en mi boca Llenando de ilusión y de pasión Mi vida locaLa horas más felices de mi amor Fueron contigo Por eso es que mi alma siempre extraña El dulce alivioTe puedo yo jurar ante un altar Mi amor sincero A todo el mundo puedes tu contar Que si te quieroTus labios me enseñaron a sentir Lo que es ternura Y no me cansare de bendecir Tanta dulzura|Contigo Tus besos se llegaron a recrear Aquí en mi boca Llenando de ilusión y de pasión Mi vida loca<>La horas más felices de mi amor Fueron contigo Por eso es que mi alma siempre extraña El dulce alivio<>Te puedo yo jurar ante un altar Mi amor sincero A todo el mundo puedes tu contar Que si te quiero<>Tus labios me enseñaron a sentir Lo que es ternura Y no me cansare de bendecir Tanta dulzura<>
8|El reloj|Los Panchos|Reloj no marques las horas porque voy a enloquecer ella se irá para siempre cuando amanezca otra vezNomás nos queda esta noche para vivir nuestro amor y tu tic-tac me recuerda mi irremediable dolorReloj detén tu camino porque mi vida se apaga ella es la estrella que alumbra mi ser yo sin su amor no soy nadaDetén el tiempo en tus manos haz esta noche perpetua para que nunca se vaya de mí para que nunca amanezca|Reloj no marques las horas porque voy a enloquecer ella se irá para siempre cuando amanezca otra vez<>Nomás nos queda esta noche para vivir nuestro amor y tu tic-tac me recuerda mi irremediable dolor<>Reloj detén tu camino porque mi vida se apaga ella es la estrella que alumbra mi ser yo sin su amor no soy nada<>Detén el tiempo en tus manos haz esta noche perpetua para que nunca se vaya de mí para que nunca amanezca<>
9|Así Fue|Juan Gabriel|Perdona si te hago llorar Perdona si te hago sufrir Pero es que no está en mis manos Pero es que no está en mis manos Me he enamora'o Me he enamora'o Me enamoréPerdona si te causo dolor Perdona si te digo adiós ¿Cómo decirle que te amo? ¿Cómo decirle que te amo? Si me ha preguntado Yo le dije que no Le dije que noSoy honesto con ella y contigo A ella la quiero y a ti te he olvidado Si tú quieres, seremos amigos Yo te ayudo a olvidar el pasadoNo te aferres Ya no te aferres A un imposible Ya no te hagas Ni me hagas más daño Ya noTú bien sabes que no fue mi culpa Tú te fuiste sin decirme nada Y a pesar que lloré como nunca Ya no seguías de mí, enamoradaLuego te fuiste Y que regresabas No me dijiste Y sin más nada ¿Por qué? No sé Pero fue así Así fueTe brindé la mejor de las suertes Yo me propuse no hablarte y ni verte Y hoy que has vuelto, ya ves, solo hay nada Ya no debo y no puedo quererteYa no te amo Me he enamora'o De un ser divino De un buen amor Que me enseñó A olvidar Y a perdonarSoy honesto con ella y contigo A ella la quiero y a ti te he olvidado Pero si tú quieres, seremos amigos Yo te ayudo a olvidar el pasadoNo te aferres Ya no te aferres A un imposible Ya no te hagas Ni me hagas más daño Ya noNo, no, no, no-no No, no, no, no-no Na-na, na-na, ra, na-ra Oh, no|Perdona si te hago llorar Perdona si te hago sufrir Pero es que no está en mis manos Pero es que no está en mis manos Me he enamora'o Me he enamora'o Me enamoré<>Perdona si te causo dolor Perdona si te digo adiós ¿Cómo decirle que te amo? ¿Cómo decirle que te amo? Si me ha preguntado Yo le dije que no Le dije que no<>Soy honesto con ella y contigo A ella la quiero y a ti te he olvidado Si tú quieres, seremos amigos Yo te ayudo a olvidar el pasado<>No te aferres Ya no te aferres A un imposible Ya no te hagas Ni me hagas más daño Ya no<>Tú bien sabes que no fue mi culpa Tú te fuiste sin decirme nada Y a pesar que lloré como nunca Ya no seguías de mí, enamorada<>Luego te fuiste Y que regresabas No me dijiste Y sin más nada ¿Por qué? No sé Pero fue así Así fue<>Te brindé la mejor de las suertes Yo me propuse no hablarte y ni verte Y hoy que has vuelto, ya ves, solo hay nada Ya no debo y no puedo quererte<>Ya no te amo Me he enamora'o De un ser divino De un buen amor Que me enseñó A olvidar Y a perdonar<>Soy honesto con ella y contigo A ella la quiero y a ti te he olvidado Pero si tú quieres, seremos amigos Yo te ayudo a olvidar el pasado<>No te aferres Ya no te aferres A un imposible Ya no te hagas Ni me hagas más daño Ya no<>No, no, no, no-no No, no, no, no-no Na-na, na-na, ra, na-ra Oh, no<>
10|Ayer Y Hoy|Julio Jaramillo|Ayer tuve un amor que hoy me abandonó, porque no me quería; fue tanta mi ilusión por hacerla feliz, pero todo fue en vano; sus juramentos falsos trajeron a mi alma tristes esperanzas, que la vida nos dio con todo su fulgor caricias y esplendor.Ahora, comprendo que todo fue mentira; sus palabras creí, ingenuamente yo, que nunca me engañaba.Ahora estaré solo para no sufrir así las consecuencias de un amor tan fugaz, que solo pudo ser, solo, sueño fatal.(CORO)Hoy sé que por dinero, te entregas a otro hombre, dejándome a mí abandonado en esta soledad; pero no importa: si tú te burlaste de mi fiel cariño, mujer fatal, algún día la tendrás tú, que pagar.|Ayer tuve un amor que hoy me abandonó, porque no me quería; fue tanta mi ilusión por hacerla feliz, pero todo fue en vano; sus juramentos falsos trajeron a mi alma tristes esperanzas, que la vida nos dio con todo su fulgor caricias y esplendor.<>Ahora, comprendo que todo fue mentira; sus palabras creí, ingenuamente yo, que nunca me engañaba.<>Ahora estaré solo para no sufrir así las consecuencias de un amor tan fugaz, que solo pudo ser, solo, sueño fatal.<>(CORO)<>Hoy sé que por dinero, te entregas a otro hombre, dejándome a mí abandonado en esta soledad; pero no importa: si tú te burlaste de mi fiel cariño, mujer fatal, algún día la tendrás tú, que pagar.<>
