1|Como Abeja Al Panal|Juan Luis Guerra 4.40|Yo sé que soy de tu agrado No niegues en darme el sí Que yo te he ofrecido a ti Un matrimonio sagradoNo más porque me enamoro Se ponen a dar querella Total, las palmas son más altas Y los puercos comen de ellasNo quieren que yo te quiera Me tienen impedimento Y no me dejan salir De la puerta al aposentoCréame que mucho lo siento Pero qué dirán de mí Tengo un amor de pasión Por eso es que a otro yo No le puedo dar el síYo no encuentro un corazón Que me sepa acotejar Cuando yo llego a tu puerta Llega la abeja al panal Llega la abeja al panal, ¡oye!Quiéreme como te quiero a ti Dame tu amor sin medida Búscame como abeja al panal Viva la miel de mi vidaYo no encuentro un corazón Que me sepa acotejar Cuando yo llego a tu puerta Llega la abeja al panal Miel que me dasQuiéreme como te quiero a ti Mamita buena Dame tu amor sin medida Búscame como abeja al panal Quita la pena Viva la miel de mi vidaCréame que mucho lo siento Pero qué dirán de mí Tengo un amor de pasión Y le voy a dar el sí ¡Oye que sí!Quiéreme como te quiero a ti Negrito lindo, ¡ay! Dame tu amor sin medida Búscame como abeja al panal Viva la miel de mi vida¡Oye!Quiéreme Solamente una vez, mira Búscame Para que sane mi herida Búscame Y una mañana al despertar Bésame Seré una ola en tu vidaQuiéreme Quiéreme que solo aquí me hundo de amor Búscame Quiéreme que estoy viviendo en tu corazón Júrame Júrame Labio a labio Bajo el cielo Bésame Amarnos toda la vidaYo no encuentro un corazón Que me sepa acotejar Cuando yo llego a tu puerta Llega la abeja al panal Llega la abeja al panal|Yo sé que soy de tu agrado No niegues en darme el sí Que yo te he ofrecido a ti Un matrimonio sagrado<>No más porque me enamoro Se ponen a dar querella Total, las palmas son más altas Y los puercos comen de ellas<>No quieren que yo te quiera Me tienen impedimento Y no me dejan salir De la puerta al aposento<>Créame que mucho lo siento Pero qué dirán de mí Tengo un amor de pasión Por eso es que a otro yo No le puedo dar el sí<>Yo no encuentro un corazón Que me sepa acotejar Cuando yo llego a tu puerta Llega la abeja al panal Llega la abeja al panal, ¡oye!<>Quiéreme como te quiero a ti Dame tu amor sin medida Búscame como abeja al panal Viva la miel de mi vida<>Yo no encuentro un corazón Que me sepa acotejar Cuando yo llego a tu puerta Llega la abeja al panal Miel que me das<>Quiéreme como te quiero a ti Mamita buena Dame tu amor sin medida Búscame como abeja al panal Quita la pena Viva la miel de mi vida<>Créame que mucho lo siento Pero qué dirán de mí Tengo un amor de pasión Y le voy a dar el sí ¡Oye que sí!<>Quiéreme como te quiero a ti Negrito lindo, ¡ay! Dame tu amor sin medida Búscame como abeja al panal Viva la miel de mi vida<>¡Oye!<>Quiéreme Solamente una vez, mira Búscame Para que sane mi herida Búscame Y una mañana al despertar Bésame Seré una ola en tu vida<>Quiéreme Quiéreme que solo aquí me hundo de amor Búscame Quiéreme que estoy viviendo en tu corazón Júrame Júrame Labio a labio Bajo el cielo Bésame Amarnos toda la vida<>Yo no encuentro un corazón Que me sepa acotejar Cuando yo llego a tu puerta Llega la abeja al panal Llega la abeja al panal<>
2|Tu Sonrisa|Elvis Crespo|Algo en tu cara me fascina Algo en tu cara me da vida ¿Será tu sonrisa? ¿Será tu sonrisa? Algo en tu cara me fascina Algo en tu cara me da vida ¿Será tu sonrisa? ¿Será tu sonrisa?Pequeña, échate pa' caEn tu cara veo cosas, que no debo de mirar Tu sonrisa dulce y tierna, no dejo de imaginar No dejes de sonreír, te lo pido por favor Que esa sonrisa hermosa es la que quiero yo(Esa sonrisa hermosa, es la que quiero yo)Sonríe mi bonita, no te pongas triste Alegra tu mi vida, y empieza a sonreírte En mi mente imagino que estas a mi lado Mientras más sonríes más te digo te amo(Mientras más sonríes, más te digo te amo)(Tu sonrisa) esa sonrisa es la que a mí me hechiza (Tu sonrisa) cuando tú sonríes, la piel se me eriza (Tu sonrisa) no te me pongas seria que me desanimas (Tu sonrisa) te ves como un ángel con tu linda sonrisa(Tu sonrisa) tu sonrisa eh, mi sonrisa (Tu sonrisa) mi sonrisa eh, tu sonrisa (tu sonrisa) Sonríe, sonríe, sonríe, sonríe que te quiero ver Sonríe, sonríe, sonríe, sonríe que te ves muy bien|Algo en tu cara me fascina Algo en tu cara me da vida ¿Será tu sonrisa? ¿Será tu sonrisa? Algo en tu cara me fascina Algo en tu cara me da vida ¿Será tu sonrisa? ¿Será tu sonrisa?<>Pequeña, échate pa' ca<>En tu cara veo cosas, que no debo de mirar Tu sonrisa dulce y tierna, no dejo de imaginar No dejes de sonreír, te lo pido por favor Que esa sonrisa hermosa es la que quiero yo<>(Esa sonrisa hermosa, es la que quiero yo)<>Sonríe mi bonita, no te pongas triste Alegra tu mi vida, y empieza a sonreírte En mi mente imagino que estas a mi lado Mientras más sonríes más te digo te amo<>(Mientras más sonríes, más te digo te amo)<>(Tu sonrisa) esa sonrisa es la que a mí me hechiza (Tu sonrisa) cuando tú sonríes, la piel se me eriza (Tu sonrisa) no te me pongas seria que me desanimas (Tu sonrisa) te ves como un ángel con tu linda sonrisa<>(Tu sonrisa) tu sonrisa eh, mi sonrisa (Tu sonrisa) mi sonrisa eh, tu sonrisa (tu sonrisa) Sonríe, sonríe, sonríe, sonríe que te quiero ver Sonríe, sonríe, sonríe, sonríe que te ves muy bien<>
3|La Dueña Del Swing|Los Hermanos Rosario|A mí me gusta ver Con la sabrosura Con que esta morena Mueve la cinturaY a mí me gusta ver Su delicadeza Una mano en la cintura Y otra en la cabezaCuando llega al baile Llama la atención Y en el escenario Ella se roba el showBaila con su estilo Como un figurin Por eso es que yo digo Que esa negra tiene swingA mí me gusta ver Con la sabrosura Con que esa morena Mueve la cinturaCuando llega al baile Llama la atención Y en el escenario Ella se roba el showBaila con su estillo Como un figurin Por eso es que yo digo Que esa negra tiene swingY tiene swing Y baila swing Y goza swing Que lindo, swingMoviendo la cadena A la derecha, a la izquirda|A mí me gusta ver Con la sabrosura Con que esta morena Mueve la cintura<>Y a mí me gusta ver Su delicadeza Una mano en la cintura Y otra en la cabeza<>Cuando llega al baile Llama la atención Y en el escenario Ella se roba el show<>Baila con su estilo Como un figurin Por eso es que yo digo Que esa negra tiene swing<>A mí me gusta ver Con la sabrosura Con que esa morena Mueve la cintura<>Cuando llega al baile Llama la atención Y en el escenario Ella se roba el show<>Baila con su estillo Como un figurin Por eso es que yo digo Que esa negra tiene swing<>Y tiene swing Y baila swing Y goza swing Que lindo, swing<>Moviendo la cadena A la derecha, a la izquirda<>
4|Las Avispas|Juan Luis Guerra 4.40|Tengo un Dios admirable en los cielos Y el amor de su Espíritu Santo Por su gracia, yo soy hombre nuevo Y de gozo se llena mi cantoDe su imagen, yo soy un reflejo (uoh-oh) Que me lleva por siempre en victoria (uoh-oh-oh) Y me ha hecho cabeza y no cola En mi Cristo, yo todo lo puedoJesús me dijo que me riera Si el enemigo me tienta en la carrera Y también me dijo: No te mortifiques Que yo le envío mis avispas pa' que lo piquen, es verdadTengo un Dios admirable en los cielos Que me libra de mal y temores Es mi roca y mi gran fortaleza Y me colma con sus bendicionesMi Señor siempre me hace justicia Me defiende de los opresores No me deja ni me desampara Pues mi Dios es Señor de señoresJesús me dijo que me riera Si el enemigo me tienta en la carrera Y también me dijo: No, no, no, no, no te mortifiques Que yo le envío mis avispas pa' que lo piquen, es verdadJesús me dijo (ya lo ves) que me riera Si el enemigo me tienta en la carrera Y también me dijo: No (no, no) te mortifiques (tú lo ves) Que yo le envio mis avispas pa' que lo piquen (oh, oye)¡Avispas!Pa' que lo piquen (en la cara, ves) Pa' que lo piquen (y en los pies) Que yo le envío mis avispas Pa' que lo piquen (lo piquen otra vez)Pa' que lo piquen (en la carretera) Pa' que lo piquen (y en medio de la acera) Que yo le envío mis avispas Pa' que lo piquen (sí)Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en el dedo más chiquito, pa' que afinque) Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en la cola, pa' que salte como un lince)Lo piquen, lo piquen, lo piquen y lo piquen (Se io do dere po de do deve ro) Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en la cara, pa' que no me mortifique)SíLo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en los huesos, pa' que salte y pa' que brinque) Lo piquen, lo piquen, lo piquen y lo piquen (Donde quiera que se meta, yo quisiera que lo pique)Lo piquen, lo piquen, lo piquen y lo piquen (Se io do dere po de do deve ro) Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en la cara, pa' que no me mortifique)Jesús me dijo que me riera Si el enemigo me tienta en la carrera Y también me dijo: No, no, no, no, no te mortifiques Que yo le envío mis avispas pa' que lo piquen, es verdadJesús me dijo (ya lo ves) que me riera Si el enemigo me tienta en la carrera Y también me dijo: No, no, no, no, no te mortifiques (tú lo ves) Que yo le envio mis avispas pa' que lo piquen (oye)|Tengo un Dios admirable en los cielos Y el amor de su Espíritu Santo Por su gracia, yo soy hombre nuevo Y de gozo se llena mi canto<>De su imagen, yo soy un reflejo (uoh-oh) Que me lleva por siempre en victoria (uoh-oh-oh) Y me ha hecho cabeza y no cola En mi Cristo, yo todo lo puedo<>Jesús me dijo que me riera Si el enemigo me tienta en la carrera Y también me dijo: No te mortifiques Que yo le envío mis avispas pa' que lo piquen, es verdad<>Tengo un Dios admirable en los cielos Que me libra de mal y temores Es mi roca y mi gran fortaleza Y me colma con sus bendiciones<>Mi Señor siempre me hace justicia Me defiende de los opresores No me deja ni me desampara Pues mi Dios es Señor de señores<>Jesús me dijo que me riera Si el enemigo me tienta en la carrera Y también me dijo: No, no, no, no, no te mortifiques Que yo le envío mis avispas pa' que lo piquen, es verdad<>Jesús me dijo (ya lo ves) que me riera Si el enemigo me tienta en la carrera Y también me dijo: No (no, no) te mortifiques (tú lo ves) Que yo le envio mis avispas pa' que lo piquen (oh, oye)<>¡Avispas!<>Pa' que lo piquen (en la cara, ves) Pa' que lo piquen (y en los pies) Que yo le envío mis avispas Pa' que lo piquen (lo piquen otra vez)<>Pa' que lo piquen (en la carretera) Pa' que lo piquen (y en medio de la acera) Que yo le envío mis avispas Pa' que lo piquen (sí)<>Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en el dedo más chiquito, pa' que afinque) Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en la cola, pa' que salte como un lince)<>Lo piquen, lo piquen, lo piquen y lo piquen (Se io do dere po de do deve ro) Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en la cara, pa' que no me mortifique)<>Sí<>Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en los huesos, pa' que salte y pa' que brinque) Lo piquen, lo piquen, lo piquen y lo piquen (Donde quiera que se meta, yo quisiera que lo pique)<>Lo piquen, lo piquen, lo piquen y lo piquen (Se io do dere po de do deve ro) Lo piquen, lo piquen, lo piquen y lo piquen (Que lo piquen en la cara, pa' que no me mortifique)<>Jesús me dijo que me riera Si el enemigo me tienta en la carrera Y también me dijo: No, no, no, no, no te mortifiques Que yo le envío mis avispas pa' que lo piquen, es verdad<>Jesús me dijo (ya lo ves) que me riera Si el enemigo me tienta en la carrera Y también me dijo: No, no, no, no, no te mortifiques (tú lo ves) Que yo le envio mis avispas pa' que lo piquen (oye)<>
5|Burbujas de Amor|Juan Luis Guerra 4.40|Tengo un corazón Mutilado de esperanza y de razón Tengo un corazón Que madruga adonde quiera¡Ay, ay, ay, ay!Y ese corazón Se desnuda de impaciencia ante tu voz Pobre corazón Que no atrapa su corduraQuisiera ser un pez Para tocar mi nariz en tu pecera Y hacer burbujas de amor por donde quiera ¡Oh!, pasar la noche en vela, mojado en tiUn pez Para bordar de corales tu cintura Y hacer siluetas de amor bajo la Luna ¡Oh!, saciar esta locura, mojado en tiCanta, corazón Con un ancla imprescindible de ilusión Sueña, corazón No te nubles de amargura¡Ay, ay, ay, ay!Y este corazón Se desnuda de impaciencia ante tu voz Pobre corazón Que no atrapa su corduraQuisiera ser un pez Para tocar mi nariz en tu pecera Y hacer burbujas de amor por donde quiera ¡Oh!, pasar la noche en vela, mojado en tiUn pez Para bordar de corales tu cintura Y hacer siluetas de amor bajo la Luna ¡Oh!, saciar esta locura, mojado en tiUna noche, para hundirnos hasta el fin Cara a cara, beso a beso Y vivir por siempre mojado en tiQuisiera ser un pez Para tocar mi nariz en tu pecera Y hacer burbujas de amor por donde quiera ¡Oh!, pasar la noche en vela, mojado en tiUn pez Para bordar de cayenas tu cintura Y hacer siluetas de amor bajo la Luna ¡Oh!, saciar esta locura, mojado en ti(Para tocar mi nariz en tu pecera) (Y hacer burbujas de amor por donde quiera) ¡Oh!, pasar la noche en vela, mojado en tiUn pez (Para bordar de cayenas tu cintura) (Y hacer siluetas de amor bajo la Luna) ¡Oh!, vaciar esta locura, mojado en ti|Tengo un corazón Mutilado de esperanza y de razón Tengo un corazón Que madruga adonde quiera<>¡Ay, ay, ay, ay!<>Y ese corazón Se desnuda de impaciencia ante tu voz Pobre corazón Que no atrapa su cordura<>Quisiera ser un pez Para tocar mi nariz en tu pecera Y hacer burbujas de amor por donde quiera ¡Oh!, pasar la noche en vela, mojado en ti<>Un pez Para bordar de corales tu cintura Y hacer siluetas de amor bajo la Luna ¡Oh!, saciar esta locura, mojado en ti<>Canta, corazón Con un ancla imprescindible de ilusión Sueña, corazón No te nubles de amargura<>¡Ay, ay, ay, ay!<>Y este corazón Se desnuda de impaciencia ante tu voz Pobre corazón Que no atrapa su cordura<>Quisiera ser un pez Para tocar mi nariz en tu pecera Y hacer burbujas de amor por donde quiera ¡Oh!, pasar la noche en vela, mojado en ti<>Un pez Para bordar de corales tu cintura Y hacer siluetas de amor bajo la Luna ¡Oh!, saciar esta locura, mojado en ti<>Una noche, para hundirnos hasta el fin Cara a cara, beso a beso Y vivir por siempre mojado en ti<>Quisiera ser un pez Para tocar mi nariz en tu pecera Y hacer burbujas de amor por donde quiera ¡Oh!, pasar la noche en vela, mojado en ti<>Un pez Para bordar de cayenas tu cintura Y hacer siluetas de amor bajo la Luna ¡Oh!, saciar esta locura, mojado en ti<>(Para tocar mi nariz en tu pecera) (Y hacer burbujas de amor por donde quiera) ¡Oh!, pasar la noche en vela, mojado en ti<>Un pez (Para bordar de cayenas tu cintura) (Y hacer siluetas de amor bajo la Luna) ¡Oh!, vaciar esta locura, mojado en ti<>
6|Bachata Rosa|Juan Luis Guerra 4.40|Te regalo una rosa La encontré en el camino No sé si está desnuda O tiene un solo vestido No, no lo sé Si la riega el verano O se embriaga de olvido Si alguna vez fue amada O tiene amores escondidosAy, ayayay, amor Eres la rosa que me da calor Eres el sueño de mi soledad Un letargo de azul Un eclipse de mar, pero Ay, ayayay, amor Yo soy satélite y tú eres mi sol Un universo de agua mineral Un espacio de luz Que sólo llenas tú, ay amor AyayayayTe regalo mis manos Mis párpados caídos El beso más profundo El que se ahoga en un gemido, oh Te regalo un otoño Un día entre abril y junio Un rayo de ilusiones Un corazón al desnudo|Te regalo una rosa La encontré en el camino No sé si está desnuda O tiene un solo vestido No, no lo sé Si la riega el verano O se embriaga de olvido Si alguna vez fue amada O tiene amores escondidos<>Ay, ayayay, amor Eres la rosa que me da calor Eres el sueño de mi soledad Un letargo de azul Un eclipse de mar, pero Ay, ayayay, amor Yo soy satélite y tú eres mi sol Un universo de agua mineral Un espacio de luz Que sólo llenas tú, ay amor Ayayayay<>Te regalo mis manos Mis párpados caídos El beso más profundo El que se ahoga en un gemido, oh Te regalo un otoño Un día entre abril y junio Un rayo de ilusiones Un corazón al desnudo<>
7|Mi Corazón Es Delicado|Ilegales|Tú eres la ladrona Que me robo el corazón Que yo guardaba para mañanaTú por qué razón Sin consultar me hiciste amar Lo que es la vida Me enamoré de tiMi corazón es delicado Tiene que estar muy bien cuidado Trátalo bien si lo has robado Cuidame, quiéreme, bésame, mimameMi corazón es delicado Porque una vez fue lastimado Trátalo bien si lo has robado Cuidame, quiéreme, bésame, mímame, síTú por qué razónMi corazón es delicado Porque una vez fue lastimado (Mi corazón fue lastimado Por eso ahora es delicado)Mi corazón es delicado (Es delicado)Porque una vez fue lastimado (Alíviame ven cúrame) (Necesito una chica como tú aquí a mi lado)Mi corazón es delicado Porque una vez fue lastimado (Hay una chica linda estoy) (Buscando para que me alivie el corazón lastimado)Mi corazón es delicado Porque una vez fue lastimadoPobre de mi corazón No tengo amor, amor Pobre de mi corazón Que hago yo, yo Pobre de mi corazón Que ya no late Óyeme morena porque tú me dejaste Solo y olvidado Pobrecito Solo y maltratado Pobrecito Te necesito cariño Así de bárbaro ven conmigoMi corazón es delicado Tiene que estar muy bien cuidado Trátalo bien si lo has robado Me, me, me, mímame así|Tú eres la ladrona Que me robo el corazón Que yo guardaba para mañana<>Tú por qué razón Sin consultar me hiciste amar Lo que es la vida Me enamoré de ti<>Mi corazón es delicado Tiene que estar muy bien cuidado Trátalo bien si lo has robado Cuidame, quiéreme, bésame, mimame<>Mi corazón es delicado Porque una vez fue lastimado Trátalo bien si lo has robado Cuidame, quiéreme, bésame, mímame, sí<>Tú por qué razón<>Mi corazón es delicado Porque una vez fue lastimado (Mi corazón fue lastimado Por eso ahora es delicado)<>Mi corazón es delicado (Es delicado)<>Porque una vez fue lastimado (Alíviame ven cúrame) (Necesito una chica como tú aquí a mi lado)<>Mi corazón es delicado Porque una vez fue lastimado (Hay una chica linda estoy) (Buscando para que me alivie el corazón lastimado)<>Mi corazón es delicado Porque una vez fue lastimado<>Pobre de mi corazón No tengo amor, amor Pobre de mi corazón Que hago yo, yo Pobre de mi corazón Que ya no late Óyeme morena porque tú me dejaste Solo y olvidado Pobrecito Solo y maltratado Pobrecito Te necesito cariño Así de bárbaro ven conmigo<>Mi corazón es delicado Tiene que estar muy bien cuidado Trátalo bien si lo has robado Me, me, me, mímame así<>
8|A Pesar de Todo|La Combinación Vallenata|No puedo ocultar que te quiero Que no puedo olvidarte Que quiero estar contigo Que has sido lo más grande Que en mi vida ha pasado Y nunca me he encontrado A nadie como túY a pesar de todo Lo que has hecho con mi pobre vida Te amo Con mi pobre vida Te extraño Con mi triste vida Me muero, traicionaste mi sentimientos Mi vida agonizaTraición, ¿por qué vives en mi alma? Porque ella tuvo que mandarte Mi alegria tuvo que marcharse Tu llegada no trajo nada Tan solo arrastraron la calma De mi triste vidaQuisiera perdonarte y olvidar esa traición Libremente besarte y no sentir ningún rencor Inmensamente duele saber que te han sido infielY no puedo olvidar que en otros brazos reposó Ese bonito cuerpo, que solo el dueño era yo Y que nuevamente quisiera volver a tenerPero la traición no me deja Y tenerte por tenerte, ¿para qué? Para qué, si existe una pena Y tenerte por tenerte, ¿para qué?Muchas noches tristes las que vivo Porque quiero tenerte nuevamente en mis brazos Regresar al pasado y olvidar las traiciones Que son las que me tienen penando por tu amor¿Por qué no he podido olvidarte? Vas metida dentro del pecho Quisiera regresar el tiempo Y que nunca, nunca me engañes Pero ahora es demasiado tarde Porque ya lo hicisteQuisiera que el tiempo borrara Todos esos malos recuerdos Esos que me tienen sufriendo Pero el tiempo no borra nada Tan solo ha arrastrado la calma De mi pobre vidaQuisiera perdonarte y olvidar esa traición Libremente besarte y no sentir ningún rencor Inmensamente duele saber que te han sido infielY no puedo olvidar que en otros brazos reposó Ese bonito cuerpo, que solo el dueño era yo Y que nuevamente quisiera volver a tenerPero la traición no me deja Y tenerte por tenerte, ¿para qué? Para qué, si existe una pena Ya ha manchado todo nuestro amor sagrado Que un día nos juramos y un día se murió Que ha manchado todo nuestro amor sagrado Que un día nos juramos y un día se murióPero la traición no me deja Y tenerte por tenerte, ¿para qué? Para qué, si existe una pena Y tenerte por tenerte, ¿para qué?|No puedo ocultar que te quiero Que no puedo olvidarte Que quiero estar contigo Que has sido lo más grande Que en mi vida ha pasado Y nunca me he encontrado A nadie como tú<>Y a pesar de todo Lo que has hecho con mi pobre vida Te amo Con mi pobre vida Te extraño Con mi triste vida Me muero, traicionaste mi sentimientos Mi vida agoniza<>Traición, ¿por qué vives en mi alma? Porque ella tuvo que mandarte Mi alegria tuvo que marcharse Tu llegada no trajo nada Tan solo arrastraron la calma De mi triste vida<>Quisiera perdonarte y olvidar esa traición Libremente besarte y no sentir ningún rencor Inmensamente duele saber que te han sido infiel<>Y no puedo olvidar que en otros brazos reposó Ese bonito cuerpo, que solo el dueño era yo Y que nuevamente quisiera volver a tener<>Pero la traición no me deja Y tenerte por tenerte, ¿para qué? Para qué, si existe una pena Y tenerte por tenerte, ¿para qué?<>Muchas noches tristes las que vivo Porque quiero tenerte nuevamente en mis brazos Regresar al pasado y olvidar las traiciones Que son las que me tienen penando por tu amor<>¿Por qué no he podido olvidarte? Vas metida dentro del pecho Quisiera regresar el tiempo Y que nunca, nunca me engañes Pero ahora es demasiado tarde Porque ya lo hiciste<>Quisiera que el tiempo borrara Todos esos malos recuerdos Esos que me tienen sufriendo Pero el tiempo no borra nada Tan solo ha arrastrado la calma De mi pobre vida<>Quisiera perdonarte y olvidar esa traición Libremente besarte y no sentir ningún rencor Inmensamente duele saber que te han sido infiel<>Y no puedo olvidar que en otros brazos reposó Ese bonito cuerpo, que solo el dueño era yo Y que nuevamente quisiera volver a tener<>Pero la traición no me deja Y tenerte por tenerte, ¿para qué? Para qué, si existe una pena Ya ha manchado todo nuestro amor sagrado Que un día nos juramos y un día se murió Que ha manchado todo nuestro amor sagrado Que un día nos juramos y un día se murió<>Pero la traición no me deja Y tenerte por tenerte, ¿para qué? Para qué, si existe una pena Y tenerte por tenerte, ¿para qué?<>
9|La Llave De Mi Corazón|Juan Luis Guerra 4.40|Yeah, yeah, yeah, yeah Yo escuchaba el otro día una emisora radial un siquiatra, Doctor Louise daba consejo matrimonialMarqué el (305 594 1185) three o' five, five ninety-four eleven eighty-five "Hey doc, le llamo por una amiga que conocí en un web site" le pido que, me dé solución pues tiene la llave de mi corazónYeah, yeah, yeah, yeah Yo soy de Ciudad Nueva y ella es de San Pedro de Macorís, you know tierra de peloteros, where Sammy Sosa livesLe gusta beber jugo de papaya con anís y narrar telenovelas, her love is blind as you can seeLe pido que, me dé solución pues tiene la llave de mi corazónSólo quiero que me beses como besas tú.You know I can't stop loving you, baby I said mamboLove me, yeah! Love me, yeah!Confirme su autoestima make a point, you're on the airQue usted quiere que haga yo debo aprender español y bailar con un pie hasta que me dé su amor o viajar un año luz de Saturno a Nueva York moving in, moving on, merengue, bachata y son, nowYo pido que, me des solución pues tienes la llave de mi corazónDance! Dance! yeah, yeah, yeah, yeah Dance!Que usted quiere que haga yo Tocaré mi conga drums y me haré un carnet de poeta y trovador Desempolvaré mi voz cantaré 'la vie en rose' Moving in, moving on merengue, bachata y son, nowYo pido que, mes de solución pues tienes la llave de mi corazónSólo quiero que me beses como besas tú.You know I can't stop loving you, babyLe pido que, me dé solución pues tiene la llave de mi corazónYou're so sweet, to me, yeah You're so sweet You're so sweet, to me, baby You're so sweet, to me, baby You're so sweet yeah, yeah, yeahLe pido que me dé solución pues tiene la llave de mi corazónSweet to my heart ehh baby now Sweet to my heart Sweet to my heart Sweet to my heart yeah yeah yeah yeah Sweet to my heart yeah babyTe pido que, me des solución tú tienes la llave de mi corazón|Yeah, yeah, yeah, yeah Yo escuchaba el otro día una emisora radial un siquiatra, Doctor Louise daba consejo matrimonial<>Marqué el (305 594 1185) three o' five, five ninety-four eleven eighty-five "Hey doc, le llamo por una amiga que conocí en un web site" le pido que, me dé solución pues tiene la llave de mi corazón<>Yeah, yeah, yeah, yeah Yo soy de Ciudad Nueva y ella es de San Pedro de Macorís, you know tierra de peloteros, where Sammy Sosa lives<>Le gusta beber jugo de papaya con anís y narrar telenovelas, her love is blind as you can see<>Le pido que, me dé solución pues tiene la llave de mi corazón<>Sólo quiero que me beses como besas tú.<>You know I can't stop loving you, baby I said mambo<>Love me, yeah! Love me, yeah!<>Confirme su autoestima make a point, you're on the air<>Que usted quiere que haga yo debo aprender español y bailar con un pie hasta que me dé su amor o viajar un año luz de Saturno a Nueva York moving in, moving on, merengue, bachata y son, now<>Yo pido que, me des solución pues tienes la llave de mi corazón<>Dance! Dance! yeah, yeah, yeah, yeah Dance!<>Que usted quiere que haga yo Tocaré mi conga drums y me haré un carnet de poeta y trovador Desempolvaré mi voz cantaré 'la vie en rose' Moving in, moving on merengue, bachata y son, now<>Yo pido que, mes de solución pues tienes la llave de mi corazón<>Sólo quiero que me beses como besas tú.<>You know I can't stop loving you, baby<>Le pido que, me dé solución pues tiene la llave de mi corazón<>You're so sweet, to me, yeah You're so sweet You're so sweet, to me, baby You're so sweet, to me, baby You're so sweet yeah, yeah, yeah<>Le pido que me dé solución pues tiene la llave de mi corazón<>Sweet to my heart ehh baby now Sweet to my heart Sweet to my heart Sweet to my heart yeah yeah yeah yeah Sweet to my heart yeah baby<>Te pido que, me des solución tú tienes la llave de mi corazón<>
10|Que Se Vaya|Olga Tañon|Yo siempre buscando tus besos Siempre llorando tras de ti Y tu no le das valor A lo que siento yo por tiPero ya yo me cansé No puedo más seguir así Voy a pensar un poco en mi Lo tuyo es solo exigirLo quieres todo para ti No dejas nada para mi Y ya de eso me cansé Por eso digo que hasta aquíEs que no quiero más sufrir No aguanto más mi corazón No pierdo más mi tiempo aquí No quiero ahora explicación¿Explicaciones para qué? Bastante tiempo que espere Por eso te digo yo que De tu egoísmo me canséY lo tengo que decir señor Usted no tiene la razón Conmigo no tuvo compasión Y destrozo mi corazón El corazón que le entregue Yo siempre pensaba en usted Por eso te digo yo que De tu egoísmo me canséQue se vaya, que se vaya Que vaya de mi vida Que me deje a mi tranquila Se acabaron las mentirasQue se vaya, que se vaya Que no vuelva nunca más Que nunca ha muerto mi vida Ahora acaba de empezarQue se vaya, que se vaya Que no vuelva nunca más Que nunca ha muerto mi vida Ahora acaba de empezarQue se vaya|Yo siempre buscando tus besos Siempre llorando tras de ti Y tu no le das valor A lo que siento yo por ti<>Pero ya yo me cansé No puedo más seguir así Voy a pensar un poco en mi Lo tuyo es solo exigir<>Lo quieres todo para ti No dejas nada para mi Y ya de eso me cansé Por eso digo que hasta aquí<>Es que no quiero más sufrir No aguanto más mi corazón No pierdo más mi tiempo aquí No quiero ahora explicación<>¿Explicaciones para qué? Bastante tiempo que espere Por eso te digo yo que De tu egoísmo me cansé<>Y lo tengo que decir señor Usted no tiene la razón Conmigo no tuvo compasión Y destrozo mi corazón El corazón que le entregue Yo siempre pensaba en usted Por eso te digo yo que De tu egoísmo me cansé<>Que se vaya, que se vaya Que vaya de mi vida Que me deje a mi tranquila Se acabaron las mentiras<>Que se vaya, que se vaya Que no vuelva nunca más Que nunca ha muerto mi vida Ahora acaba de empezar<>Que se vaya, que se vaya Que no vuelva nunca más Que nunca ha muerto mi vida Ahora acaba de empezar<>Que se vaya<>
