1|El Tamalero|Oscar Padilla|¡Se van a rifa! Y otra vez, Oscar Padilla Presentando el tamalero Pa' toda la Costa de OroSeñores, voy a contarles la historia de un tamalero Él llega a los restaurantes y a los centros botaneros Él es un muchacho alegre y también simpaticón Vende dulces y tamales entonando esta canción(¿Cuál es, cuél es?)Halls, Clorets, pepitorias, cacahuate, Tridents Chocolate, mazapanes, cigarros y Tic Tac Rosas, bolas y tamal, nueces y pistaches Cocadas de coco y plátanos asados Pingüinos, abanicos y pelones, ranas y panditas Motos y burbujas y carros Jamaica colombiana, tarjeta Telcel Tarjeta Movistar, tarjeta Multifon Bombones del América y las Chivas¿Y qué te voy a dar? Taka ta taka taka taka taDe chocolates, traigo Ferrero Rocher M&M y MilkyWay, Snicker Kínder Huevo chocolate, milk chocolate Kisses y Carlos QuintoDe cigarros, traigo Marlboro Benson Mentolados Viceroy, Camel, Raleigh, botas¿Y qué te voy a dar? Taka ta taka taka taka taY ahí les encargó unos tamalitos No son de chivo ¿eh? Son de camarón, costeñoSeñores, voy a contarles la historia de un tamalero Él llega a los restaurantes y a los centros botaneros Él es un muchacho alegre y también simpaticón Vende dulces y tamales entonando esta canción(¿Cuál es, cuál es?)Halls, Clorets, pepitorias, cacahuate, Tridents Chocolate, mazapanes, cigarros y Tic Tac Rosas, bolas y tamal, nueces y pistaches Cocadas de coco y plátanos asados Pingüinos, abanicos y pelones, ranas y panditas Motos y burbujas y carros Jamaica colombiana, tarjeta Telcel Tarjeta Movistar, tarjeta Multifon Bombones del América y las Chivas¿Y qué te voy a dar? Taka ta taka taka taka taDe chocolates, traigo Ferrero Rocher M&M y MilkyWay, Snicker Kínder Huevo chocolate, milk chocolate Kisses y Carlos QuintoDe cigarros, traigo Marlboro Benson Mentolados Viceroy, Camel, Raleigh, botas¿Y qué te voy a dar? Taka ta taka taka taka taYa me voy, ya me despido de mi compa', el tamalero Les digo a todos ustedes que no olviden su canción Él es un muchacho alegre y también simpaticón Vende dulces y tamales entonando esta canción(¿Cuál es, cuál es?)Halls, Clorets, pepitorias, cacahuate, Tridents Chocolate, mazapanes, cigarros y Tic Tac Rosas, bolas y tamal, nueces y pistaches Cocadas de coco y plátanos asados Pingüinos, abanicos y pelones, ranas y panditas Motos y burbujas y carros Jamaica colombiana, tarjeta Telcel Tarjeta Movistar, tarjeta Multifon Bombones del América y las Chivas¿Y qué te voy a dar? Taka ta taka taka taka taDe chocolates, traigo Ferrero Rocher M&M y MilkyWay, Snicker Kínder Huevo chocolate, milk chocolate Kisses y Carlos QuintoDe cigarros, traigo Marlboro Benson Mentolados Viceroy, Camel, Raleigh, botas¿Y qué te voy a dar? Taka ta taka ta taY nos fuimos La banda Santiago y Tuxpán Tecuala Acaponeta y Tepic El nuevo rolo me la gané yo ¡Tamales!|¡Se van a rifa! Y otra vez, Oscar Padilla Presentando el tamalero Pa' toda la Costa de Oro<>Señores, voy a contarles la historia de un tamalero Él llega a los restaurantes y a los centros botaneros Él es un muchacho alegre y también simpaticón Vende dulces y tamales entonando esta canción<>(¿Cuál es, cuél es?)<>Halls, Clorets, pepitorias, cacahuate, Tridents Chocolate, mazapanes, cigarros y Tic Tac Rosas, bolas y tamal, nueces y pistaches Cocadas de coco y plátanos asados Pingüinos, abanicos y pelones, ranas y panditas Motos y burbujas y carros Jamaica colombiana, tarjeta Telcel Tarjeta Movistar, tarjeta Multifon Bombones del América y las Chivas<>¿Y qué te voy a dar? Taka ta taka taka taka ta<>De chocolates, traigo Ferrero Rocher M&M y MilkyWay, Snicker Kínder Huevo chocolate, milk chocolate Kisses y Carlos Quinto<>De cigarros, traigo Marlboro Benson Mentolados Viceroy, Camel, Raleigh, botas<>¿Y qué te voy a dar? Taka ta taka taka taka ta<>Y ahí les encargó unos tamalitos No son de chivo ¿eh? Son de camarón, costeño<>Señores, voy a contarles la historia de un tamalero Él llega a los restaurantes y a los centros botaneros Él es un muchacho alegre y también simpaticón Vende dulces y tamales entonando esta canción<>(¿Cuál es, cuál es?)<>Halls, Clorets, pepitorias, cacahuate, Tridents Chocolate, mazapanes, cigarros y Tic Tac Rosas, bolas y tamal, nueces y pistaches Cocadas de coco y plátanos asados Pingüinos, abanicos y pelones, ranas y panditas Motos y burbujas y carros Jamaica colombiana, tarjeta Telcel Tarjeta Movistar, tarjeta Multifon Bombones del América y las Chivas<>¿Y qué te voy a dar? Taka ta taka taka taka ta<>De chocolates, traigo Ferrero Rocher M&M y MilkyWay, Snicker Kínder Huevo chocolate, milk chocolate Kisses y Carlos Quinto<>De cigarros, traigo Marlboro Benson Mentolados Viceroy, Camel, Raleigh, botas<>¿Y qué te voy a dar? Taka ta taka taka taka ta<>Ya me voy, ya me despido de mi compa', el tamalero Les digo a todos ustedes que no olviden su canción Él es un muchacho alegre y también simpaticón Vende dulces y tamales entonando esta canción<>(¿Cuál es, cuál es?)<>Halls, Clorets, pepitorias, cacahuate, Tridents Chocolate, mazapanes, cigarros y Tic Tac Rosas, bolas y tamal, nueces y pistaches Cocadas de coco y plátanos asados Pingüinos, abanicos y pelones, ranas y panditas Motos y burbujas y carros Jamaica colombiana, tarjeta Telcel Tarjeta Movistar, tarjeta Multifon Bombones del América y las Chivas<>¿Y qué te voy a dar? Taka ta taka taka taka ta<>De chocolates, traigo Ferrero Rocher M&M y MilkyWay, Snicker Kínder Huevo chocolate, milk chocolate Kisses y Carlos Quinto<>De cigarros, traigo Marlboro Benson Mentolados Viceroy, Camel, Raleigh, botas<>¿Y qué te voy a dar? Taka ta taka ta ta<>Y nos fuimos La banda Santiago y Tuxpán Tecuala Acaponeta y Tepic El nuevo rolo me la gané yo ¡Tamales!<>
2|100 Años|Pedro Infante|Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia míTe vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura se ahogó Dentro de míMe duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de tiY, sin embargo, sigues Unida a mi existencia Y, si vivo cien años Cien años pienso en tiPasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia miTe vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura se ahogó Dentro de míMe duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de tiY, sin embargo, sigues Unida a mi existencia Y, si vivo cien años Cien años pienso en ti|Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mí<>Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura se ahogó Dentro de mí<>Me duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de ti<>Y, sin embargo, sigues Unida a mi existencia Y, si vivo cien años Cien años pienso en ti<>Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mi<>Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura se ahogó Dentro de mí<>Me duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de ti<>Y, sin embargo, sigues Unida a mi existencia Y, si vivo cien años Cien años pienso en ti<>
3|Las Mañanitas|Vicente Fernández|Estas son las mañanitas Que cantaba el rey David Hoy por ser día de tu santo Te las cantamos aquíDespierta, mi bien, despierta Mira que ya amaneció Ya los pajaritos cantan La Luna ya se metióQué linda está la mañana En que vengo a saludarte Venimos todos con gusto Y placer a felicitarteEl día en que tú naciste Nacieron todas las flores En la pilar del bautismo Cantaron los RuiseñoresYa viene amaneciendo Ya la luz del día nos dio Levántate de mañana Mira que ya amanecióSi yo pudiera bajarte Las estrellas y un lucero Para poder demostrarte Lo mucho que yo te quieroCon jazmines y flores Este día quiero adornar Hoy por ser día de tu santo Te venimos a cantar|Estas son las mañanitas Que cantaba el rey David Hoy por ser día de tu santo Te las cantamos aquí<>Despierta, mi bien, despierta Mira que ya amaneció Ya los pajaritos cantan La Luna ya se metió<>Qué linda está la mañana En que vengo a saludarte Venimos todos con gusto Y placer a felicitarte<>El día en que tú naciste Nacieron todas las flores En la pilar del bautismo Cantaron los Ruiseñores<>Ya viene amaneciendo Ya la luz del día nos dio Levántate de mañana Mira que ya amaneció<>Si yo pudiera bajarte Las estrellas y un lucero Para poder demostrarte Lo mucho que yo te quiero<>Con jazmines y flores Este día quiero adornar Hoy por ser día de tu santo Te venimos a cantar<>
4|Me Cansé de Rogarle|Pedro Infante|Me cansé de rogarle Me cansé de decirle Que yo, sin ella, de pena muero Ya no quiso escucharme Si sus labios se abrieron Fue pa' decirme: Ya no te quieroYo sentí que mi vida Se perdía en un abismo Profundo y negro, como mi suerte Quise hallar el olvido Al estilo Jalisco Pero aquellos mariachis y aquel tequila Me hicieron llorarMe cansé de rogarle Con el llanto en los ojos Alcé mi copa y brindé por ella No podía despreciarme Era el último brindis De un bohemio con una reinaLos mariachis callaron De mi mano, sin fuerza Cayó mi copa, sin darme cuenta Ella quiso quedarse Cuando vio mi tristeza Pero ya estaba escrito que aquella noche Perdiera su amor|Me cansé de rogarle Me cansé de decirle Que yo, sin ella, de pena muero Ya no quiso escucharme Si sus labios se abrieron Fue pa' decirme: Ya no te quiero<>Yo sentí que mi vida Se perdía en un abismo Profundo y negro, como mi suerte Quise hallar el olvido Al estilo Jalisco Pero aquellos mariachis y aquel tequila Me hicieron llorar<>Me cansé de rogarle Con el llanto en los ojos Alcé mi copa y brindé por ella No podía despreciarme Era el último brindis De un bohemio con una reina<>Los mariachis callaron De mi mano, sin fuerza Cayó mi copa, sin darme cuenta Ella quiso quedarse Cuando vio mi tristeza Pero ya estaba escrito que aquella noche Perdiera su amor<>
5|Un Millón de Primaveras|Vicente Fernández|Te molesta si te hablo de mi amor Y me pides, por favor, olvide el tema Y que cambie la letra de mis canciones Y tu nombre quite ya de aquel poemaTe molesta, aguanta, por favor Te lo juro, estoy a punto de olvidarteSolo falta un millón de primaveras Unos cuántos siglos solo he de adorarte Solo falta un millón de primaveras Después de eso, ya no vuelvo a molestarteOh, no No volveré a cantarte Si te molesta Si te molestaTe molesta el perro que ladró De alegría, anunciando tu llegada Y me dices que ese perro está loco Que le ladra a la persona equivocadaYo te digo, por favor, aguanta un poco Ten paciencia, no le des otra pedradaOh, no No volverá a ladrarte Si te molesta Si te molestaSolo falta un millón de primaveras Unos cuántos siglos solo he de adorarte Solo falta un millón de primaveras Después de eso, ya no vuelvo a molestarteOh, no No volveré a cantarte Si te molesta Si te molestaSi te molesta Si te molesta|Te molesta si te hablo de mi amor Y me pides, por favor, olvide el tema Y que cambie la letra de mis canciones Y tu nombre quite ya de aquel poema<>Te molesta, aguanta, por favor Te lo juro, estoy a punto de olvidarte<>Solo falta un millón de primaveras Unos cuántos siglos solo he de adorarte Solo falta un millón de primaveras Después de eso, ya no vuelvo a molestarte<>Oh, no No volveré a cantarte Si te molesta Si te molesta<>Te molesta el perro que ladró De alegría, anunciando tu llegada Y me dices que ese perro está loco Que le ladra a la persona equivocada<>Yo te digo, por favor, aguanta un poco Ten paciencia, no le des otra pedrada<>Oh, no No volverá a ladrarte Si te molesta Si te molesta<>Solo falta un millón de primaveras Unos cuántos siglos solo he de adorarte Solo falta un millón de primaveras Después de eso, ya no vuelvo a molestarte<>Oh, no No volveré a cantarte Si te molesta Si te molesta<>Si te molesta Si te molesta<>
6|Me Metí En El Ruedo|Luis R Conriquez|Piensan que ha sido fácil llegar al puesto que tengo Solo porque ven feria y no saben de donde vengo Cuánto he batallado en tener lo que quieroA penas corta edad, pero yo he sido inteligente Haciendo movimientos con la gente en este ambiente Género billete, verde pa' movermeY miraba gente alivianada Con mucho billete, yo también quería No me quedaba de otra que meterme al ruedo Fue por mi familiaMarcas exclusivas me han visto De Gucci, Versace en antros distinguidos En una mesa privada, tomando con quienes Si son mis amigosLa vida te da mil golpes Unos fuertes, otros que ni te imaginas Por eso ando caminando pa' delante A pesar de muchas caídas¡Así suena su compa Luis R Conriquez! ¡Y puro Cartel Music! Porque todos comenzamos de cero, viejoMe cuido de dónde vengo y así es como me mantengo Hay muchos traicioneros que me vieron y se fueron Porque me miraron que no traía ni un pesoUna troca vieja o tal vez una del año Hay me han visto pasar con la música retumbando Es que soy alegre, me gusta el relajoAndamos mucho mejor que antes Tal vez fue por suerte o por inteligencia Pero de aquí no me quitan porque ando al tirante Dios pone y te quitaEn Michigan donde radico Me apodan El Y, aquí andamos al tiro Hay que seguir festejando con un buen whiskyto Y con música en vivoLa vida te da mil golpes Unos fuertes, otros que ni te imaginas Por eso ando caminando pa' delante Y ahora sí vamos pa' arriba|Piensan que ha sido fácil llegar al puesto que tengo Solo porque ven feria y no saben de donde vengo Cuánto he batallado en tener lo que quiero<>A penas corta edad, pero yo he sido inteligente Haciendo movimientos con la gente en este ambiente Género billete, verde pa' moverme<>Y miraba gente alivianada Con mucho billete, yo también quería No me quedaba de otra que meterme al ruedo Fue por mi familia<>Marcas exclusivas me han visto De Gucci, Versace en antros distinguidos En una mesa privada, tomando con quienes Si son mis amigos<>La vida te da mil golpes Unos fuertes, otros que ni te imaginas Por eso ando caminando pa' delante A pesar de muchas caídas<>¡Así suena su compa Luis R Conriquez! ¡Y puro Cartel Music! Porque todos comenzamos de cero, viejo<>Me cuido de dónde vengo y así es como me mantengo Hay muchos traicioneros que me vieron y se fueron Porque me miraron que no traía ni un peso<>Una troca vieja o tal vez una del año Hay me han visto pasar con la música retumbando Es que soy alegre, me gusta el relajo<>Andamos mucho mejor que antes Tal vez fue por suerte o por inteligencia Pero de aquí no me quitan porque ando al tirante Dios pone y te quita<>En Michigan donde radico Me apodan El Y, aquí andamos al tiro Hay que seguir festejando con un buen whiskyto Y con música en vivo<>La vida te da mil golpes Unos fuertes, otros que ni te imaginas Por eso ando caminando pa' delante Y ahora sí vamos pa' arriba<>
7|Ellas Así Son (part. Jessi Uribe)|Espinoza Paz|[Espinoza Paz] Ella no merece que llore en su cara No le ruegue mucho deje que se vaya Mientras mas le siga demostrando amor Mas va despreciarlo, ellas así son[Jessy Uribe] Deme un buen consejo que lo necesito Porque tengo miedo a quedarme sólito[Espinoza Paz] Si se queda solo va a ser por qué quiere Porque en este mundo sobran las mujeres[Jessy Uribe] Pero como ella, difícil sera[Espinoza Paz] De esas hay montones Ya no sufra mas[Jessy Uribe] Yo lo aprecio mucho, porque es mi amigo Pero ella no sabe a quien a perdido[Espinoza Paz] Donde están los tragos? Que quiero tomar[Jessy Uribe] Donde esta el mariachi? Que quiero cantar Y si no reacciona con esta canción Es porque de piedra tiene el corazón[Jessy Uribe] Pero como ella difícil sera[Espinoza Paz] De esas hay montones Ya no sufra mas Yo lo aprecio mucho, porque es mi amigo Pero ella no sabe a quien a perdido[Espinoza Paz] Donde estan los tragos? Que quiero tomar[Jessy Uribe] Donde esta el mariachi? Que quiero cantar Y si no reaccona con esta canción Es porque de piedra tiene el corazón|[Espinoza Paz] Ella no merece que llore en su cara No le ruegue mucho deje que se vaya Mientras mas le siga demostrando amor Mas va despreciarlo, ellas así son<>[Jessy Uribe] Deme un buen consejo que lo necesito Porque tengo miedo a quedarme sólito<>[Espinoza Paz] Si se queda solo va a ser por qué quiere Porque en este mundo sobran las mujeres<>[Jessy Uribe] Pero como ella, difícil sera<>[Espinoza Paz] De esas hay montones Ya no sufra mas<>[Jessy Uribe] Yo lo aprecio mucho, porque es mi amigo Pero ella no sabe a quien a perdido<>[Espinoza Paz] Donde están los tragos? Que quiero tomar<>[Jessy Uribe] Donde esta el mariachi? Que quiero cantar Y si no reacciona con esta canción Es porque de piedra tiene el corazón<>[Jessy Uribe] Pero como ella difícil sera<>[Espinoza Paz] De esas hay montones Ya no sufra mas Yo lo aprecio mucho, porque es mi amigo Pero ella no sabe a quien a perdido<>[Espinoza Paz] Donde estan los tragos? Que quiero tomar<>[Jessy Uribe] Donde esta el mariachi? Que quiero cantar Y si no reaccona con esta canción Es porque de piedra tiene el corazón<>
8|Cien Años|Pedro Infante|Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mí Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura Se ahogó dentro de míMe duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de tiY sin embargo, sigues Unida a mí existencia Y si vivo cien años Cien años pienso en tiPasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mí Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura Se ahogó dentro de míMe duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de tiY sin embargo, sigues Unida a mí existencia Y si vivo cien años Cien años pienso en ti|Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mí Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura Se ahogó dentro de mí<>Me duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de ti<>Y sin embargo, sigues Unida a mí existencia Y si vivo cien años Cien años pienso en ti<>Pasaste a mi lado Con gran indiferencia Tus ojos ni siquiera Voltearon hacia mí Te vi sin que me vieras Te hablé sin que me oyeras Y toda mi amargura Se ahogó dentro de mí<>Me duele hasta la vida Saber que me olvidaste Pensar que ni desprecios Merezca yo de ti<>Y sin embargo, sigues Unida a mí existencia Y si vivo cien años Cien años pienso en ti<>
9|Cielito Lindo|Pedro Infante|De la Sierra Morena, cielito lindo, vienen bajando Un par de ojitos negros, cielito lindo, de contrabando De la Sierra Morena, cielito lindo, vienen bajando Un par de ojitos negros, cielito lindo, de contrabandoAy, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazonesAy, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazonesEse lunar que tienes, cielito lindo, junto a la boca No se lo des a nadie, cielito lindo, que a mí me toca Ese lunar que tienes, cielito lindo, junto a la boca No se lo des a nadie, cielito lindo, que a mí me tocaAy, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazonesAy, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazonesSiempre que te enamores Mira primero, mira primero Donde pones los ojos, cielito lindo No llores luegoAy, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazonesAy, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazones|De la Sierra Morena, cielito lindo, vienen bajando Un par de ojitos negros, cielito lindo, de contrabando De la Sierra Morena, cielito lindo, vienen bajando Un par de ojitos negros, cielito lindo, de contrabando<>Ay, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazones<>Ay, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazones<>Ese lunar que tienes, cielito lindo, junto a la boca No se lo des a nadie, cielito lindo, que a mí me toca Ese lunar que tienes, cielito lindo, junto a la boca No se lo des a nadie, cielito lindo, que a mí me toca<>Ay, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazones<>Ay, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazones<>Siempre que te enamores Mira primero, mira primero Donde pones los ojos, cielito lindo No llores luego<>Ay, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazones<>Ay, ay, ay, ay Canta y no llores Porque cantando se alegran, cielito lindo, los corazones<>
10|A Mi Manera|Vicente Fernández|El final se acerca ya Lo esperaré serenamente Ya ves, yo he sido así Te lo diré sinceramenteViví la inmensidad Sin conocer jamás fronteras Jugué sin descansar Y a mi maneraJamás vivi un amor Que para mí fuera importante Corté solo una flor Y lo mejor de cada instanteViajé y disfruté No sé si más que otro cualquiera Si bien todo esto fue A mi maneraTal vez lloré o tal vez reí Tal vez gané o tal vez perdí Ahora sé que fui feliz Que si lloré, también amé Puedo seguir hasta el final A mi maneraQuizá también lloré Cuando yo más me divertía Quizá yo desprecié Aquello que no comprendiaHoy sé que firme fui Y que afronté ser como era Y así logré vivir Pero a mi maneraPorque sabrás Que un hombre al fin Conocerás por su vivir No hay por que hablar ni que decir Ni recordar ni que fingir Puedo seguir hasta el final A mi manera|El final se acerca ya Lo esperaré serenamente Ya ves, yo he sido así Te lo diré sinceramente<>Viví la inmensidad Sin conocer jamás fronteras Jugué sin descansar Y a mi manera<>Jamás vivi un amor Que para mí fuera importante Corté solo una flor Y lo mejor de cada instante<>Viajé y disfruté No sé si más que otro cualquiera Si bien todo esto fue A mi manera<>Tal vez lloré o tal vez reí Tal vez gané o tal vez perdí Ahora sé que fui feliz Que si lloré, también amé Puedo seguir hasta el final A mi manera<>Quizá también lloré Cuando yo más me divertía Quizá yo desprecié Aquello que no comprendia<>Hoy sé que firme fui Y que afronté ser como era Y así logré vivir Pero a mi manera<>Porque sabrás Que un hombre al fin Conocerás por su vivir No hay por que hablar ni que decir Ni recordar ni que fingir Puedo seguir hasta el final A mi manera<>
